web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1690035328-1","https://www.booking.com/hotel/mx/camino-real-aeropuerto-mexico.html?aid=356980&label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIE4AIB&sid=a4685e865a0b2f48720e596f4054c1f4#tab-reviews","1274
Page 1274","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx&pagename=camino-real-aeropuerto-mexico&r_lang=&review_topic_category_id=&type=total&score=&sort=&time_of_year=&dist=1&rows=10&rurl=&text=&translate=&_=1690035299928&offset=12730","There are no comments available for this review"
"1690035328-2","https://www.booking.com/hotel/mx/camino-real-aeropuerto-mexico.html?aid=356980&label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIE4AIB&sid=a4685e865a0b2f48720e596f4054c1f4#tab-reviews","1274
Page 1274","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx&pagename=camino-real-aeropuerto-mexico&r_lang=&review_topic_category_id=&type=total&score=&sort=&time_of_year=&dist=1&rows=10&rurl=&text=&translate=&_=1690035299928&offset=12730","There are no comments available for this review"
"1690035328-3","https://www.booking.com/hotel/mx/camino-real-aeropuerto-mexico.html?aid=356980&label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIE4AIB&sid=a4685e865a0b2f48720e596f4054c1f4#tab-reviews","1274
Page 1274","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx&pagename=camino-real-aeropuerto-mexico&r_lang=&review_topic_category_id=&type=total&score=&sort=&time_of_year=&dist=1&rows=10&rurl=&text=&translate=&_=1690035299928&offset=12730","There are no comments available for this review"
"1690035328-4","https://www.booking.com/hotel/mx/camino-real-aeropuerto-mexico.html?aid=356980&label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIE4AIB&sid=a4685e865a0b2f48720e596f4054c1f4#tab-reviews","1274
Page 1274","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx&pagename=camino-real-aeropuerto-mexico&r_lang=&review_topic_category_id=&type=total&score=&sort=&time_of_year=&dist=1&rows=10&rurl=&text=&translate=&_=1690035299928&offset=12730","There are no comments available for this review"
"1690035328-5","https://www.booking.com/hotel/mx/camino-real-aeropuerto-mexico.html?aid=356980&label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIE4AIB&sid=a4685e865a0b2f48720e596f4054c1f4#tab-reviews","1274
Page 1274","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx&pagename=camino-real-aeropuerto-mexico&r_lang=&review_topic_category_id=&type=total&score=&sort=&time_of_year=&dist=1&rows=10&rurl=&text=&translate=&_=1690035299928&offset=12730","There are no comments available for this review"
"1690035328-6","https://www.booking.com/hotel/mx/camino-real-aeropuerto-mexico.html?aid=356980&label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIE4AIB&sid=a4685e865a0b2f48720e596f4054c1f4#tab-reviews","1274
Page 1274","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx&pagename=camino-real-aeropuerto-mexico&r_lang=&review_topic_category_id=&type=total&score=&sort=&time_of_year=&dist=1&rows=10&rurl=&text=&translate=&_=1690035299928&offset=12730","There are no comments available for this review"
"1690035328-7","https://www.booking.com/hotel/mx/camino-real-aeropuerto-mexico.html?aid=356980&label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIE4AIB&sid=a4685e865a0b2f48720e596f4054c1f4#tab-reviews","1274
Page 1274","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx&pagename=camino-real-aeropuerto-mexico&r_lang=&review_topic_category_id=&type=total&score=&sort=&time_of_year=&dist=1&rows=10&rurl=&text=&translate=&_=1690035299928&offset=12730","There are no comments available for this review"
"1690035328-8","https://www.booking.com/hotel/mx/camino-real-aeropuerto-mexico.html?aid=356980&label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIE4AIB&sid=a4685e865a0b2f48720e596f4054c1f4#tab-reviews","1274
Page 1274","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx&pagename=camino-real-aeropuerto-mexico&r_lang=&review_topic_category_id=&type=total&score=&sort=&time_of_year=&dist=1&rows=10&rurl=&text=&translate=&_=1690035299928&offset=12730","There are no comments available for this review"
"1690035328-9","https://www.booking.com/hotel/mx/camino-real-aeropuerto-mexico.html?aid=356980&label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIE4AIB&sid=a4685e865a0b2f48720e596f4054c1f4#tab-reviews","1274
Page 1274","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx&pagename=camino-real-aeropuerto-mexico&r_lang=&review_topic_category_id=&type=total&score=&sort=&time_of_year=&dist=1&rows=10&rurl=&text=&translate=&_=1690035299928&offset=12730","There are no comments available for this review"
"1690035328-10","https://www.booking.com/hotel/mx/camino-real-aeropuerto-mexico.html?aid=356980&label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIE4AIB&sid=a4685e865a0b2f48720e596f4054c1f4#tab-reviews","1274
Page 1274","https://www.booking.com/reviewlist.html?aid=356980&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ApSh76UGwAIB0gIkMWE1N2EzMzItNjUwOS00NTkzLWJiNmItZWQzZWJlMzhhNGMy2AIF4AIB&sid=a4685e865a0b2f48720e596f4054c1f4&cc1=mx&pagename=camino-real-aeropuerto-mexico&r_lang=&review_topic_category_id=&type=total&score=&sort=&time_of_year=&dist=1&rows=10&rurl=&text=&translate=&_=1690035299928&offset=12730","There are no comments available for this review"
