web-scraper-order,web-scraper-start-url,hotel_name,price
"1690656455-1","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","1. Hotel Krystal Cancun",""
"1690656455-2","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","2. Moon Palace Cancun",""
"1690656455-3","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","3. Le Blanc Spa Resort Cancun",""
"1690656455-4","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","4. Hard Rock Hotel Cancun",""
"1690656455-5","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","5. Hotel Dos Playas Faranda Cancun",""
"1690656455-6","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6. Emporio Cancun",""
"1690656455-7","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","7. Paradisus Cancun",""
"1690656455-8","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","8. Occidental Costa Cancún",""
"1690656455-9","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","9. Waldorf Astoria Cancun",""
"1690656455-10","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","10. Hotel NYX Cancun",""
"1690656455-11","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","11. Hyatt Zilara Cancun",""
"1690656455-12","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","12. Grand Fiesta Americana Coral Beach Cancún All Inclusive",""
"1690656455-13","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","13. Occidental Tucancún",""
"1690656455-14","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","14. Óleo Cancún Playa",""
"1690656455-15","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","15. Moon Palace The Grand - Cancún",""
"1690656455-16","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","16. The Royal Cancun All Suites Resort",""
"1690656455-17","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","17. Kempinski Hotel Cancún",""
"1690656455-18","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","18. Hilton Cancun, an All-Inclusive Resort",""
"1690656455-19","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","19. JW Marriott Cancun Resort & Spa",""
"1690656455-20","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","20. Mayan Monkey Cancun",""
