web-scraper-order,web-scraper-start-url,hotel_name,price
"1690656630-1","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","1. The Westin Cozumel",""
"1690656630-2","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","2. Melia Cozumel",""
"1690656630-3","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","3. InterContinental Presidente Cozumel Resort Spa, an IHG Hotel",""
"1690656630-4","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","4. Secrets Aura Cozumel",""
"1690656630-5","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","5. Hotel El Cozumeleño Beach Resort",""
"1690656630-6","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","6. Sunscape Sabor Cozumel",""
"1690656630-7","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","7. Cozumel Hotel & Resort, Trademark Collection by Wyndham",""
"1690656630-8","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","8. Occidental Cozumel",""
"1690656630-9","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","9. The Explorean Cozumel",""
"1690656630-10","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","10. Fiesta Americana Cozumel All Inclusive",""
"1690656630-11","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","11. Cozumel Palace",""
"1690656630-12","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","12. Grand Park Royal Cozumel",""
"1690656630-13","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","13. El Cid La Ceiba Beach Hotel",""
"1690656630-14","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","14. Hotel B Cozumel",""
"1690656630-15","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","15. Casa Mexicana Cozumel",""
"1690656630-16","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","16. Hotel B Unique",""
"1690656630-17","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","17. Coral Princess Hotel & Dive Resort",""
"1690656630-18","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","18. Casita de Maya Boutique Hotel",""
"1690656630-19","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","19. Ventanas al Mar",""
"1690656630-20","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","20. Flamingo Hotel",""
"1690656630-21","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","21. Albatros Suites by Bedsfriends",""
"1690656630-22","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","22. Baldwin's Guest House Cozumel",""
"1690656630-23","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","23. Dreams Cozumel Cape Resort & Spa",""
"1690656630-24","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","24. Villablanca Garden Beach Hotel",""
"1690656630-25","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","25. Hotel Vista Del Mar",""
"1690656630-26","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","26. Hotel Mary Carmen",""
"1690656630-27","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","27. Safari Inn",""
"1690656630-28","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","28. Mi Casa Tu Casa Cozumel Hacienda Boutique",""
"1690656630-29","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","29. Blue Magic Hostel",""
"1690656630-30","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","30. Hotel Boutique Villas Segovia Suites",""
"1690656630-31","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£215"
"1690656630-32","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£272"
"1690656630-33","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£332"
"1690656630-34","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£358"
"1690656630-35","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£282"
"1690656630-36","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£203"
"1690656630-37","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£190"
"1690656630-38","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£419"
"1690656630-39","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£402"
"1690656630-40","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£390"
"1690656630-41","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£442"
"1690656630-42","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£332"
"1690656630-43","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£150"
"1690656630-44","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£235"
"1690656630-45","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£141"
"1690656630-46","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£280"
"1690656630-47","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£131"
"1690656630-48","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£100"
"1690656630-49","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£155"
"1690656630-50","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£121"
"1690656630-51","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£104"
"1690656630-52","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£58"
"1690656630-53","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£290"
"1690656630-54","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£73"
"1690656630-55","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£49"
"1690656630-56","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£60"
"1690656630-57","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£52"
"1690656630-58","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£90"
"1690656630-59","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£68"
"1690656630-60","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","","£85"
