web-scraper-order,web-scraper-start-url,hotel_name,price
"1690656332-1","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","1. Gran Hotel Ciudad De Mexico",""
"1690656332-2","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","2. Barceló México Reforma",""
"1690656332-3","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","3. Live Aqua Urban Resort Mexico",""
"1690656332-4","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","4. Hotel Historico Central",""
"1690656332-5","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","5. Zocalo Central",""
"1690656332-6","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6. W Mexico City",""
"1690656332-7","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","7. Hyatt Regency Mexico City",""
"1690656332-8","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","8. Hilton Mexico City Reforma",""
"1690656332-9","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","9. Emporio Hotel",""
"1690656332-10","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","10. Hotel Punto MX",""
"1690656332-11","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","11. NH Collection Mexico City Centro Histórico",""
"1690656332-12","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","12. Courtyard by Marriott Mexico City Airport",""
"1690656332-13","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","13. Galeria Plaza Reforma",""
"1690656332-14","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","14. Fairfield Inn & Suites by Marriott Mexico City Vallejo",""
"1690656332-15","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","15. NH Collection Mexico City Airport T2",""
"1690656332-16","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","16. Sheraton Maria Isabel Hotel",""
"1690656332-17","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","17. Hotel MX reforma",""
"1690656332-18","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","18. Hotel MX Garibaldi",""
"1690656332-19","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","19. City Express La Raza",""
"1690656332-20","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","20. Hyatt House Mexico City/Santa Fe",""
"1690656332-21","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","21. Fiesta Inn Aeropuerto Ciudad de Mexico",""
"1690656332-22","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","22. Mexico City Marriott Reforma Hotel",""
"1690656332-23","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","23. Las Suites Campos Eliseos",""
"1690656332-24","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","24. Umbral, Curio Collection by Hilton",""
