web-scraper-order,web-scraper-start-url,hotel_name,price
"1690655813-1","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","1. Secrets Maroma Beach Riviera Cancun",""
"1690655813-2","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","2. Fairmont Mayakoba",""
"1690655813-3","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","3. El Dorado Maroma",""
"1690655813-4","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","4. Valentin Imperial Riviera Maya",""
"1690655813-5","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","5. Mahekal Beach Resort",""
"1690655813-6","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6. Hotel Xcaret Mexico",""
"1690655813-7","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","7. Ocean Riviera Paradise",""
"1690655813-8","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","8. Banyan Tree Mayakoba",""
"1690655813-9","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","9. Grand Hyatt Playa Del Carmen Resort",""
"1690655813-10","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","10. Paradisus Playa Del Carmen",""
"1690655813-11","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","11. Occidental at Xcaret Destination",""
"1690655813-12","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","12. Hotel Xcaret Arte",""
"1690655813-13","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","13. Hilton Playa del Carmen, an All-Inclusive Adult Only Resort",""
"1690655813-14","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","14. Allegro Playacar",""
"1690655813-15","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","15. Royal Hideaway Playacar",""
"1690655813-16","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","16. Viceroy Riviera Maya, a Luxury Villa Resort",""
"1690655813-17","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","17. Grand Velas Riviera Maya",""
"1690655813-18","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","18. Petit Lafitte Beach Front Hotel & Bungalows",""
"1690655813-19","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","19. Andaz Mayakoba Resort Riviera Maya",""
"1690655813-20","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","20. Playacar Palace",""
"1690655813-21","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","21. Chablé Maroma",""
"1690655813-22","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","22. The Yucatan Playa del Carmen All-Inclusive Resort, Tapestry by Hilton",""
"1690655813-23","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","23. El Dorado Royale by Karisma",""
"1690655813-24","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","24. Blue Diamond Luxury Boutique Hotel",""
"1690655813-25","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","25. Thompson Playa Del Carmen",""
"1690655813-26","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","26. Holiday Inn Express & Suites Playa del Carmen, an IHG Hotel",""
"1690655813-27","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","27. HM Playa del Carmen",""
"1690655813-28","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","28. Riviera Maya Suites",""
"1690655813-29","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","29. Senses Riviera Maya by Artisan",""
