web-scraper-order,web-scraper-start-url,hotel_name,price
"1690656020-1","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","1. AZULIK Tulum",""
"1690656020-2","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","2. Alaya Tulum by Ahau Collection",""
"1690656020-3","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","3. Dreams Tulum Resort & Spa",""
"1690656020-4","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","4. Diamante K",""
"1690656020-5","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","5. Kore Tulum Retreat and Spa Resort",""
"1690656020-6","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6. Cabañas Tulum Beach Hotel & Spa",""
"1690656020-7","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","7. Be Tulum Hotel",""
"1690656020-8","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","8. Hotel Muare Tulum",""
"1690656020-9","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","9. Dune Boutique Hotel Tulum",""
"1690656020-10","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","10. Papaya Playa Project",""
"1690656020-11","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","11. Casa Malca",""
"1690656020-12","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","12. Hotel Ma'xanab Tulum",""
"1690656020-13","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","13. Kan Tulum",""
"1690656020-14","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","14. La Valise Tulum",""
"1690656020-15","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","15. Kanan Tulum by Ahau Collection",""
"1690656020-16","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","16. Encantada Tulum",""
"1690656020-17","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","17. Villa Pescadores by Ahau Collection",""
"1690656020-18","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","18. Mi Amor Colibri Boutique Hotel",""
"1690656020-19","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","19. Mereva Tulum",""
"1690656020-20","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","20. Conrad Tulum Riviera Maya",""
"1690656020-21","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","21. Coco Tulum Hotel",""
"1690656020-22","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","22. Hilton Tulum Riviera Maya All-Inclusive Resort",""
"1690656020-23","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","23. Copal Tulum Hotel",""
"1690656020-24","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","24. Sanara Tulum",""
"1690656020-25","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","25. Casa Ganesh by Ahau Collection",""
"1690656020-26","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","26. Aloft Tulum",""
"1690656020-27","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","27. Motto by Hilton Tulum",""
"1690656020-28","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","28. Kimpton Aluna Resort Tulum",""
