web-scraper-order,web-scraper-start-url,hotel_name,price
"1690965015-1","https://www.booking.com/searchresults.html?label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AvWXqKYGwAIB0gIkMGEyYzMzZTItMTRjNi00NTFhLWEyMjQtZjgzOTNlMTYwNzNi2AIE4AIB&aid=356980&checkin=2023-08-02&checkout=2023-08-03&city=-1655011&offset=75","JW Marriott Cancun Resort & Spa",""
"1690965015-2","https://www.booking.com/searchresults.html?label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AvWXqKYGwAIB0gIkMGEyYzMzZTItMTRjNi00NTFhLWEyMjQtZjgzOTNlMTYwNzNi2AIE4AIB&aid=356980&checkin=2023-08-02&checkout=2023-08-03&city=-1655011&offset=75","Hotel & Hostal Casa de Luz Cancun",""
"1690965015-3","https://www.booking.com/searchresults.html?label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AvWXqKYGwAIB0gIkMGEyYzMzZTItMTRjNi00NTFhLWEyMjQtZjgzOTNlMTYwNzNi2AIE4AIB&aid=356980&checkin=2023-08-02&checkout=2023-08-03&city=-1655011&offset=75","Pa´Xa Mama Hotel Boutique",""
"1690965015-4","https://www.booking.com/searchresults.html?label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AvWXqKYGwAIB0gIkMGEyYzMzZTItMTRjNi00NTFhLWEyMjQtZjgzOTNlMTYwNzNi2AIE4AIB&aid=356980&checkin=2023-08-02&checkout=2023-08-03&city=-1655011&offset=75","Krystal Grand Cancun",""
"1690965015-5","https://www.booking.com/searchresults.html?label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AvWXqKYGwAIB0gIkMGEyYzMzZTItMTRjNi00NTFhLWEyMjQtZjgzOTNlMTYwNzNi2AIE4AIB&aid=356980&checkin=2023-08-02&checkout=2023-08-03&city=-1655011&offset=75","One Cancun Centro",""
"1690965015-6","https://www.booking.com/searchresults.html?label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AvWXqKYGwAIB0gIkMGEyYzMzZTItMTRjNi00NTFhLWEyMjQtZjgzOTNlMTYwNzNi2AIE4AIB&aid=356980&checkin=2023-08-02&checkout=2023-08-03&city=-1655011&offset=75","GAIA STUDIOS by Mi Casa es tu Casa",""
"1690965015-7","https://www.booking.com/searchresults.html?label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AvWXqKYGwAIB0gIkMGEyYzMzZTItMTRjNi00NTFhLWEyMjQtZjgzOTNlMTYwNzNi2AIE4AIB&aid=356980&checkin=2023-08-02&checkout=2023-08-03&city=-1655011&offset=75","Hyatt Ziva Cancun",""
"1690965015-8","https://www.booking.com/searchresults.html?label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AvWXqKYGwAIB0gIkMGEyYzMzZTItMTRjNi00NTFhLWEyMjQtZjgzOTNlMTYwNzNi2AIE4AIB&aid=356980&checkin=2023-08-02&checkout=2023-08-03&city=-1655011&offset=75","Mezcal Hostel",""
"1690965015-9","https://www.booking.com/searchresults.html?label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AvWXqKYGwAIB0gIkMGEyYzMzZTItMTRjNi00NTFhLWEyMjQtZjgzOTNlMTYwNzNi2AIE4AIB&aid=356980&checkin=2023-08-02&checkout=2023-08-03&city=-1655011&offset=75","Krystal Urban Cancun & Beach Club",""
"1690965015-10","https://www.booking.com/searchresults.html?label=gog235jc-1DCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AvWXqKYGwAIB0gIkMGEyYzMzZTItMTRjNi00NTFhLWEyMjQtZjgzOTNlMTYwNzNi2AIE4AIB&aid=356980&checkin=2023-08-02&checkout=2023-08-03&city=-1655011&offset=75","City Express Junior by Marriott Cancun",""
