web-scraper-order,web-scraper-start-url,hotel_name,price
"1690899789-1","https://www.booking.com/searchresults.en-gb.html?ss=Mexico+City&ssne=Mexico+City&ssne_untouched=Mexico+City&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArHio6YGwAIB0gIkMDk2OWZhNzgtN2VlNy00YjJjLWJjZDEtNDQ0NDNkNTdkMTkx2AIF4AIB&aid=356980&lang=en-gb&sb=1&src_elem=sb&src=searchresults&dest_id=-1658079&dest_type=city&checkin=2023-08-01&checkout=2023-08-02&group_adults=2&no_rooms=1&group_children=0&selected_currency=GBP","Hotel Palace México",""
"1690899789-2","https://www.booking.com/searchresults.en-gb.html?ss=Mexico+City&ssne=Mexico+City&ssne_untouched=Mexico+City&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArHio6YGwAIB0gIkMDk2OWZhNzgtN2VlNy00YjJjLWJjZDEtNDQ0NDNkNTdkMTkx2AIF4AIB&aid=356980&lang=en-gb&sb=1&src_elem=sb&src=searchresults&dest_id=-1658079&dest_type=city&checkin=2023-08-01&checkout=2023-08-02&group_adults=2&no_rooms=1&group_children=0&selected_currency=GBP","Casa Real Coyoacán",""
"1690899789-3","https://www.booking.com/searchresults.en-gb.html?ss=Mexico+City&ssne=Mexico+City&ssne_untouched=Mexico+City&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArHio6YGwAIB0gIkMDk2OWZhNzgtN2VlNy00YjJjLWJjZDEtNDQ0NDNkNTdkMTkx2AIF4AIB&aid=356980&lang=en-gb&sb=1&src_elem=sb&src=searchresults&dest_id=-1658079&dest_type=city&checkin=2023-08-01&checkout=2023-08-02&group_adults=2&no_rooms=1&group_children=0&selected_currency=GBP","Soy Local CDMX",""
"1690899789-4","https://www.booking.com/searchresults.en-gb.html?ss=Mexico+City&ssne=Mexico+City&ssne_untouched=Mexico+City&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArHio6YGwAIB0gIkMDk2OWZhNzgtN2VlNy00YjJjLWJjZDEtNDQ0NDNkNTdkMTkx2AIF4AIB&aid=356980&lang=en-gb&sb=1&src_elem=sb&src=searchresults&dest_id=-1658079&dest_type=city&checkin=2023-08-01&checkout=2023-08-02&group_adults=2&no_rooms=1&group_children=0&selected_currency=GBP","Metro Hostal Boutique",""
"1690899789-5","https://www.booking.com/searchresults.en-gb.html?ss=Mexico+City&ssne=Mexico+City&ssne_untouched=Mexico+City&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArHio6YGwAIB0gIkMDk2OWZhNzgtN2VlNy00YjJjLWJjZDEtNDQ0NDNkNTdkMTkx2AIF4AIB&aid=356980&lang=en-gb&sb=1&src_elem=sb&src=searchresults&dest_id=-1658079&dest_type=city&checkin=2023-08-01&checkout=2023-08-02&group_adults=2&no_rooms=1&group_children=0&selected_currency=GBP","Be Mate Condesa Hipódromo",""
"1690899789-6","https://www.booking.com/searchresults.en-gb.html?ss=Mexico+City&ssne=Mexico+City&ssne_untouched=Mexico+City&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArHio6YGwAIB0gIkMDk2OWZhNzgtN2VlNy00YjJjLWJjZDEtNDQ0NDNkNTdkMTkx2AIF4AIB&aid=356980&lang=en-gb&sb=1&src_elem=sb&src=searchresults&dest_id=-1658079&dest_type=city&checkin=2023-08-01&checkout=2023-08-02&group_adults=2&no_rooms=1&group_children=0&selected_currency=GBP","Roso Guest House",""
"1690899789-7","https://www.booking.com/searchresults.en-gb.html?ss=Mexico+City&ssne=Mexico+City&ssne_untouched=Mexico+City&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArHio6YGwAIB0gIkMDk2OWZhNzgtN2VlNy00YjJjLWJjZDEtNDQ0NDNkNTdkMTkx2AIF4AIB&aid=356980&lang=en-gb&sb=1&src_elem=sb&src=searchresults&dest_id=-1658079&dest_type=city&checkin=2023-08-01&checkout=2023-08-02&group_adults=2&no_rooms=1&group_children=0&selected_currency=GBP","NH Collection Mexico City Santa Fe",""
"1690899789-8","https://www.booking.com/searchresults.en-gb.html?ss=Mexico+City&ssne=Mexico+City&ssne_untouched=Mexico+City&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArHio6YGwAIB0gIkMDk2OWZhNzgtN2VlNy00YjJjLWJjZDEtNDQ0NDNkNTdkMTkx2AIF4AIB&aid=356980&lang=en-gb&sb=1&src_elem=sb&src=searchresults&dest_id=-1658079&dest_type=city&checkin=2023-08-01&checkout=2023-08-02&group_adults=2&no_rooms=1&group_children=0&selected_currency=GBP","Hotel California",""
"1690899789-9","https://www.booking.com/searchresults.en-gb.html?ss=Mexico+City&ssne=Mexico+City&ssne_untouched=Mexico+City&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArHio6YGwAIB0gIkMDk2OWZhNzgtN2VlNy00YjJjLWJjZDEtNDQ0NDNkNTdkMTkx2AIF4AIB&aid=356980&lang=en-gb&sb=1&src_elem=sb&src=searchresults&dest_id=-1658079&dest_type=city&checkin=2023-08-01&checkout=2023-08-02&group_adults=2&no_rooms=1&group_children=0&selected_currency=GBP","Casa Cicerón by Kukun",""
"1690899789-10","https://www.booking.com/searchresults.en-gb.html?ss=Mexico+City&ssne=Mexico+City&ssne_untouched=Mexico+City&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArHio6YGwAIB0gIkMDk2OWZhNzgtN2VlNy00YjJjLWJjZDEtNDQ0NDNkNTdkMTkx2AIF4AIB&aid=356980&lang=en-gb&sb=1&src_elem=sb&src=searchresults&dest_id=-1658079&dest_type=city&checkin=2023-08-01&checkout=2023-08-02&group_adults=2&no_rooms=1&group_children=0&selected_currency=GBP","We Hotel Aeropuerto",""
"1690899789-11","https://www.booking.com/searchresults.en-gb.html?ss=Mexico+City&ssne=Mexico+City&ssne_untouched=Mexico+City&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArHio6YGwAIB0gIkMDk2OWZhNzgtN2VlNy00YjJjLWJjZDEtNDQ0NDNkNTdkMTkx2AIF4AIB&aid=356980&lang=en-gb&sb=1&src_elem=sb&src=searchresults&dest_id=-1658079&dest_type=city&checkin=2023-08-01&checkout=2023-08-02&group_adults=2&no_rooms=1&group_children=0&selected_currency=GBP","NH Collection México City Centro Histórico",""
"1690899789-12","https://www.booking.com/searchresults.en-gb.html?ss=Mexico+City&ssne=Mexico+City&ssne_untouched=Mexico+City&label=gog235jc-1FCAIooAE4GEgzWANopwGIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArHio6YGwAIB0gIkMDk2OWZhNzgtN2VlNy00YjJjLWJjZDEtNDQ0NDNkNTdkMTkx2AIF4AIB&aid=356980&lang=en-gb&sb=1&src_elem=sb&src=searchresults&dest_id=-1658079&dest_type=city&checkin=2023-08-01&checkout=2023-08-02&group_adults=2&no_rooms=1&group_children=0&selected_currency=GBP","Residence L´Heritage Aristóteles 140 by BlueBay",""
