web-scraper-order,web-scraper-start-url,pages,pages-href,hotel_name,price
"1690654610-1","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","151. Bsea Cancun Plaza",""
"1690654610-2","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","152. Hotel Plaza Kokai",""
"1690654610-3","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","153. Mansion Giahn",""
"1690654610-4","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","154. Hotel Maya Caribe Faranda",""
"1690654610-5","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","155. Mex Hoteles",""
"1690654610-6","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","156. Blue Coconut Cancún Hotel",""
"1690654610-7","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","157. Los Cuates de Cancun",""
"1690654610-8","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","158. Hotel Alux Cancun",""
"1690654610-9","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","159. Ikaro Suites Cancun",""
"1690654610-10","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","160. Hotel Boutique Casa Maraf - Adults Only",""
"1690654610-11","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","161. Hotel Tankah",""
"1690654610-12","https://www.tripadvisor.co.uk/Hotels-g150807-Cancun_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150807-oa150-Cancun_Yucatan_Peninsula-Hotels.html","162. Hotel Blue Star",""
