web-scraper-order,web-scraper-start-url,pages,pages-href,hotel_name,price
"1690654880-1","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150809-oa150-Cozumel_Yucatan_Peninsula-Hotels.html","151. Casa Mandarina Cozumel",""
"1690654880-2","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150809-oa150-Cozumel_Yucatan_Peninsula-Hotels.html","152. Hotel El Marques",""
"1690654880-3","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150809-oa150-Cozumel_Yucatan_Peninsula-Hotels.html","153. Hacienda San Miguel",""
"1690654880-4","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150809-oa150-Cozumel_Yucatan_Peninsula-Hotels.html","154. Villa Las Uvas",""
"1690654880-5","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150809-oa150-Cozumel_Yucatan_Peninsula-Hotels.html","155. Villa Maya",""
"1690654880-6","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150809-oa150-Cozumel_Yucatan_Peninsula-Hotels.html","156. Carlota Guest House",""
"1690654880-7","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150809-oa150-Cozumel_Yucatan_Peninsula-Hotels.html","157. Casa Alegria at Hacienda MonteCristo",""
"1690654880-8","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150809-oa150-Cozumel_Yucatan_Peninsula-Hotels.html","158. Hacienda San Jose Cholul",""
"1690654880-9","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150809-oa150-Cozumel_Yucatan_Peninsula-Hotels.html","159. Moskito Hostal & Boutique",""
"1690654880-10","https://www.tripadvisor.co.uk/Hotels-g150809-Cozumel_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150809-oa150-Cozumel_Yucatan_Peninsula-Hotels.html","160. Kiin Hotel Boutique",""
