web-scraper-order,web-scraper-start-url,pages,pages-href,hotel_name,price
"1690655391-1","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","151. Hostal Emerson",""
"1690655391-2","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","152. Hostel Hospedarte Centro",""
"1690655391-3","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","153. Hostal Don Felipe",""
"1690655391-4","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","154. The Roof Backpackers",""
"1690655391-5","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","155. Hotel Gran Casa Xalisco",""
"1690655391-6","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","156. Casa Vilasanta",""
"1690655391-7","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","157. Six Hotel Guadalajara Degollado",""
"1690655391-8","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","158. Hotel H Americas",""
"1690655391-9","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","159. Hotel Real De Castilla",""
"1690655391-10","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","160. Hostal Casa Colores",""
"1690655391-11","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","161. Hotel Colon Express",""
"1690655391-12","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","162. Casa Bosque Eduviges",""
"1690655391-13","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","163. Hotel Petit Maria Jose",""
"1690655391-14","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","164. Posada Mi Rey",""
"1690655391-15","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","165. Gala Hotel Boutique",""
"1690655391-16","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","166. VL Hotel Boutique",""
"1690655391-17","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","167. Casa Ixaya by Barrio Mexico",""
"1690655391-18","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","168. Arboledas Industrial",""
"1690655391-19","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","169. Expo Hotel",""
"1690655391-20","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","170. Hotel San Juan",""
"1690655391-21","https://www.tripadvisor.co.uk/Hotels-g150798-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150798-oa150-Guadalajara_Guadalajara_Metropolitan_Area-Hotels.html","171. Hotel  Occidental",""
