web-scraper-order,web-scraper-start-url,pages,pages-href,hotel_name,price
"1690654295-1","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150812-oa150-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","151. Grand Riviera Princess",""
"1690654295-2","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150812-oa150-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","152. Be Playa Hotel",""
"1690654295-3","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150812-oa150-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","153. Hotel Playa Del Carmen",""
"1690654295-4","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150812-oa150-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","154. Red Panda Hostal",""
"1690654295-5","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150812-oa150-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","155. Tropical Casa Blanca Youth & Chic Hotel",""
"1690654295-6","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150812-oa150-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","156. Barrio Latino Hotel",""
"1690654295-7","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150812-oa150-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","157. Hotel Casa Melissa",""
"1690654295-8","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150812-oa150-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","158. Capital O Mimi Del Mar",""
"1690654295-9","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150812-oa150-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","159. City Express Suites Playa del Carmen",""
"1690654295-10","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150812-oa150-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","160. Ambassador At Grand Velas All Inclusive",""
"1690654295-11","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150812-oa150-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","161. Antera Hotel & Residences",""
"1690654295-12","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150812-oa150-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","162. Grand Sunset Princess",""
"1690654295-13","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150812-oa150-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","163. Vainilla B&B Mexico",""
"1690654295-14","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150812-oa150-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","164. Hotel Lunata",""
"1690654295-15","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150812-oa150-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","165. KAYAK Sol Playa del Carmen",""
"1690654295-16","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150812-oa150-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","166. Suites Fenicia",""
"1690654295-17","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150812-oa150-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","167. Hotel Hacienda Real Del Caribe",""
"1690654295-18","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150812-oa150-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","168. Hotel Posada Sian Ka'an",""
"1690654295-19","https://www.tripadvisor.co.uk/Hotels-g150812-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150812-oa150-Playa_del_Carmen_Yucatan_Peninsula-Hotels.html","169. Hotel Riviera Caribe Maya",""
