web-scraper-order,web-scraper-start-url,pages,pages-href,hotel_name,price
"1690655112-1","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","151. Layla Tulum - Boutique Hotel",""
"1690655112-2","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","152. Yaakunah Tulum Home",""
"1690655112-3","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","153. La Diosa Tulum",""
"1690655112-4","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","154. Hotel Calaluna Tulum",""
"1690655112-5","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","155. El Dorado Royale A Spa Resort by Karisma",""
"1690655112-6","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","156. Central Park Lagunas",""
"1690655112-7","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","157. Hotel Sayab",""
"1690655112-8","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","158. Joy Tulum",""
"1690655112-9","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","159. Hotel Panamera Tulum",""
"1690655112-10","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","160. Hotel Panacea Tulum",""
"1690655112-11","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","161. Casa Violeta",""
"1690655112-12","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","162. The Strabon Tulum",""
"1690655112-13","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","163. Kaab Tulum",""
"1690655112-14","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","164. Hotel Biwa Tulum",""
"1690655112-15","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","165. Luv Tulum",""
"1690655112-16","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","166. Mistiq Tulum",""
"1690655112-17","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","167. Libelula Tulum",""
"1690655112-18","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","168. Aldea Balam",""
"1690655112-19","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","169. Tulum - La Veleta",""
"1690655112-20","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","170. Casa Tankah",""
"1690655112-21","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","171. Eeb Ti Kaan",""
"1690655112-22","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","172. Watal Tulum Hotel",""
"1690655112-23","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","173. L'Hotelito",""
"1690655112-24","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","174. Magic Xcacel Tulum",""
"1690655112-25","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","175. Panther Bay Villa & Golf",""
"1690655112-26","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","176. Nerea Tulum",""
"1690655112-27","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","177. Casa Xanath",""
"1690655112-28","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","178. Eterna Tulum",""
"1690655112-29","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","179. Hotel Zendero",""
"1690655112-30","https://www.tripadvisor.co.uk/Hotels-g150813-Tulum_Yucatan_Peninsula-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150813-oa150-Tulum_Yucatan_Peninsula-Hotels.html","180. Co.Banitas Eco Hotel",""
