web-scraper-order,web-scraper-start-url,pages,pages-href,hotel_name,price
"1690653891-1","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","151. Hotel Villa Condesa",""
"1690653891-2","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","152. Condesa DF",""
"1690653891-3","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","153. Design Hotel Mumedi",""
"1690653891-4","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","154. Hotel Aeropuerto",""
"1690653891-5","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","155. Marquis Sky Suites",""
"1690653891-6","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","156. TRYP by Wyndham Mexico City World Trade Center Area",""
"1690653891-7","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","157. Suites Contempo",""
"1690653891-8","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","158. Ibis Mexico Alameda",""
"1690653891-9","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","159. Hotel Century Reforma",""
"1690653891-10","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","160. Camino Real Pedregal",""
"1690653891-11","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","161. Fiesta Inn Ciudad de Mexico Forum Buenavista",""
"1690653891-12","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","162. One Ciudad de Mexico Patriotismo",""
"1690653891-13","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","163. Hotel Bristol",""
"1690653891-14","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","164. AC Hotel by Marriott Santa Fe",""
"1690653891-15","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","165. Holiday Inn Ciudad de Mexico-Trade Center, an IHG Hotel",""
"1690653891-16","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","166. Exe Alameda Reforma",""
"1690653891-17","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","167. Ramada by Wyndham Mexico City Santa Fe",""
"1690653891-18","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","168. Casa Tuna",""
"1690653891-19","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","169. Hotel SR92",""
"1690653891-20","https://www.tripadvisor.co.uk/Hotels-g150800-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","6","https://www.tripadvisor.co.uk/Hotels-g150800-oa150-Mexico_City_Central_Mexico_and_Gulf_Coast-Hotels.html","170. Residence L'Heritage Aristoteles 225",""
