web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689928215-1","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or70-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","As always, it's a great place to visit. Always  a great time when we visit the Sunrise pool. Pablo takes great care of us.  Other people that took great care of us were Richard and his fabulous crew. Ricky, Anell and Ruben the bartender. Wilbert at Gold course bar. David at LaTratoria. Abraham at sunrise bar. Felipe at the Grand bar was outstanding. McGiver at the Library always takes great care of us. Jeremiah the golf cart driver was awesome"
"1689928215-2","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or70-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","Resort has a lot of positives to offer, really enjoyed 1) the sailing, lesson from Javier was great and then took the boats out three other times, relaxing and easy 2) food was good, my favorite was at the grand called Habibi with our waiter at Maya and Trattoria being the best - Macimiliano 3) yoga was nice the meditation from Dani was really nice for me, the enthusiasm and friendlyness extended to the whole entertainment staff.  Rooms were nice, not sure why the hot tub in the center of the room with two doubles beds is a good design idea but I don’t do design. Limited to none NA beer options….something that should change based on time…"
"1689928215-3","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or70-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","The Staff was Out of this world Excellent!! So many great people. The fact that they have a #playroom that the kids Never wanted to leave is like icing on the cake.  Just a Few of the outstanding personnel  Yanet  Regina  Cecilia Kim Miriam Alondra Kris Haydee Valeria Poulet  Ana Sara Paulina Avril and many more"
"1689928215-4","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or70-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","Our bartenders were the best. We had Erik, Humberto, Federico and Alexander. They were fantastic. They were so funny and great bartenders. They worked extremely hard and did a fantastic job!  I would 10/10 recommend!"
"1689928227-5","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","7","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or60-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","Outstanding service, I will start with the Trattoria restaurant, Ana Mejia and her staff are the best, especially, Abrham.  Abrham is very knowledgeable about the menu and he makes the whole  dining experience so much  fun. Riviera Maya, see if I can remember  all the names that need to be recognized, Carlos, Wendy, Jorge, Araceli, and especially  Alan Ernesto, for such a young man, Ernesto was very knowledgeable about the Mayan culture and food."
"1689928227-6","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","7","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or60-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","Our family enjoyed an action-packed week at Moon Palace Sunrise. The activities, food, and service were great. My son and I played golf almost daily. The course was beautiful, and Angel took care of all our golfing needs. We’re already looking forward to a return trip."
"1689928227-7","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","7","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or60-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","My experience on the spa is great.  Vigueras on the spa was very kind  The service on the hotel was excellent.  The check inn was easy.  They put our bracelets and here we go.  To a bracelet to open the room door is great and easy.    So you don’t forget the key."
"1689928227-8","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","7","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or60-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","Just returned from Moon Palace Cancun.   We went with our family and friends and before I give my review, I will say that my children had fun, but I’ve stayed in a lot of all inclusive resorts and this one was by far the worst.  I would NEVER recommend this property to anyone for the following reasons:  ROOMS: - rooms were filthy.  I’m talking dried toothpaste on the bathroom mirror, dirty dingy linens, dirt in every corner… yuck!  - rooms were TINY and very poorly designed.   There’s a giant tub in the middle of the room and the AC is pointing towards it instead of pointing towards the beds!  - our air conditioner didn’t work one full day (it was stifling hot in the room and we had to leave immediately because we were concerned about the health of our children).  When we"
"1689928227-9","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","7","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or60-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","We had a wonderful experience at Moon Palace Cancun.  We traveled with our family of four, and a family of friends who also had four. Our room was part of the Nizuc location.  Everywhere we went, between Nizuc and Sunrise, was within walking distance, but there were always golf cart shuttles ready and willing to give rides.  The rooms as well as the grounds are clean, well kept, and lovely.  It was very quiet and serene near all the rooms.  We enjoyed both pools and always were able to find space for our whole crew.  We participated and enjoyed the activities at the pool and played beach volleyball.  The people who work at this resort are incredibly friendly, kind, fun, and share comradery with their fellow workers.  We'd like to recognize a couple specifically:  Rodrigo was our"
"1689928227-10","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","7","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or60-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","Moon palace is a beautiful hotel with great service! Jesús Alejandro and Martha at the Góndola restaurant were extraordinary with their service. We mentioned that we liked spice with our foods and they let us know that the Gondola restaurant only had tabasco to offer for chiles. They then went out of their way to go to another restaurant at the hotel to get us spicy sauce/chile so we could enjoy our meals.  The staff always had good conversations with us and were always very helpful. 10/10 recommend this hotel for family, friend, or couple vacations."
"1689928227-11","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","7","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or60-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","My first trip out of the U.S and we spent 4 nights and 5 days and Moon Palace Cancun-sunrise. The service at restaurants, buffets, pools and the entertainment was 10/10 each and everyday and night. The grounds are beautiful with beautiful views. I would recommend to anyone visiting an all inclusive for the first time as it was easy to navigate. Food at all places at pool as well as throughout resort is 10/10. Would come back again!"
"1689928227-12","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","7","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or60-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","This is not our style of hotel as it is way to big and everything is so far apart.  It is a beautiful hotel with many beautiful amenities and great staff but we are “into” smaller hotels.  Was dismayed at lack of chairs at the beach as we are not pool people we love the ocean. Food was fantastic but was shocked one night when private parties booked up half restaurants for dinner, no buffet open and 2-3 hour waits for dinner at the 3 restaurants left. Elite Transfer to hotel left us stranded and had to hire a cab and pay again with no refund on transfer we paid for."
"1689928227-13","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","7","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or60-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","I initially had a pretty rough experience at Moon Palace Sunrise. We had what I felt was a minor issue that Public Relations worked helped me through. Beach photos online are photoshopped and very misleading. No part of their entire beach is blue or clear at all. It is a protected beach so they cannot clean all seaweed and I fully respect and understand that, even appreciate it honestly. I will note that the resort itself is beautiful, their staff are amazing and the food was top notch! Their restaurant options are truly 4-5 star restaurants, all inclusive! Overall my family very much enjoyed the resort and I am certain I only saw 10% of it, the place is absolutely massive compared any other standard all inclusive resort in Cancun."
"1689928247-14","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","5","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or40-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","I had to wait a few weeks before I could write this review so I could accurately put into words the absolute horrendous experience my husband and I had at Moon Palace for our baby moon. As other reviewers have mentioned, the first “meeting” you have when you walk in is a sales pitch. “Come visit The Grand where we will give you a tour of the grounds and you can enjoy breakfast. The total time should be around an hour and a half. You will get a $500 resort credit and 2 day passes to come back to the Grand to enjoy our amenities. This is only if everyone in your party attends.” Even though the Grand is a part of Moon Palace, guests are not able to enjoy any of the restaurants, amenities, etc unless you sit for hours at their sales pitch or pay $100 per person, per day. SCAM!"
"1689928247-15","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","5","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or40-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","Moon palace cancun is a great resort and great value.  For a place you can go for under 2 grand a person I don't know what else you could want.  This was our second trip to the resort and it probably won't be our last.  We went in july so the heat was oppressive, but luckily there's  lots of water.  The nice part about that was the resort was probably only at about 50% capacity.  There was no waiting for anything.  You want to take out a kayak or sailboat, go to whatever restaurant you want, or get a good seat for a show - was always easy.  The service was great whether you tipped or not.  Some resorts you can definitely tell that service is better for good tippers.  Here it is not.  consistently good all the time.    In the past there was a seaweed issue on the beach.  They"
"1689928247-16","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","5","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or40-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","I visit this same hotel around once a year with my family for the last 10 or so years It was honestly the worst experience we have had at this hotel, very sad to see how the service has declined and what I expected was an unforgettable family experience has resulted in a terrible one, not planning to visit again"
"1689928247-17","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","5","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or40-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","The momo restaurant was amazing and armando made it even more special for us. The food came very fast and our server was always there to satisfy our needs. I will definitely be attending moon palace and momo again."
"1689928247-18","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","5","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or40-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","My boyfriend and I stayed at the Sun Palace but ventured over to Moon Palace for Golf Academy. We both have had many golf lessons but this was by far the best one thanks to Adan! He is the best golf instructor we have had the pleasure of working with! We’re coming back for more lessons tomorrow with him."
"1689928266-19","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","4","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or30-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","From the moment of arriving it has been a complete let down. First of all we booked a swim uo suite, told they’re wasn’t any so we could upgrade for free to governors suite, we insisted we wanted the swim up room booked, so magically one became available, stuck in the corner with the exit off our balcony, with a 2 year old, furtherst walk to the “swim up pool” completely miss advertised & unsuitable. We rang main reception to explain, all unhelpful & told us we had to pay £800 to now upgrade. Finally sorted after a lot of arguments and a 3 hour wait for our new room & a whole day wasted we’re only here for 2 nights thankfully, no space at the pool all day, everyone is so rude, all the staff are unhelpful, no pool concierge or pool drinks, they literally walk past you but ask"
"1689928266-20","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","4","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or30-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","I was at the SPA in Moon Palace Sunrise and Miriam just finished my massage, Wow, she was amazing. She was able to relax my back muscles and release all that tension I had. Thanks Palace for your attentive staff. Definitely will be coming back."
"1689928266-21","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","4","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or30-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","Our family had the most amazing meal at Momo with Eduardo Torres and Yeimi. The food was the best we've had at Moon Palace Sunrise and the service was top notch. Thanks Eduardo and Yeimi for the wonderful dining experience!!!"
"1689928266-22","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or50-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","4","https://www.tripadvisor.com/Hotel_Review-g150807-d219163-Reviews-or30-Moon_Palace_Cancun-Cancun_Yucatan_Peninsula.html","We checked in and we had requested Handicapp Accessible room with a roll in shower. I know this is Mexico and not to expect rooms like the ones back home. But this is frustrating and disappointing! The bathrooms are not ADA compliance. My mom can not get through the toilet to even roll her self in the shower. We have an electric wheelchair and also a manual chair. We tried both. Not possible. The customer service  here is horrible at Sunrise! We been here since 1:00pm and been have going back and fourth with guest services and main lobby. I wish we had known what to expect, I highly do not recommend booking this place if you are traveling with a wheelchair. Anything we ask we get routed to another person in a different area ! I personally had to pay extra to be near my parents"
