web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
1689275552-1,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,6,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-or50-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"Staying at live Aqua has made my experience in Mexico Above and beyond! Everyone is so welcoming. Food is superb! Cesar (the afternoon Chef) will make sure all your meals are on point. Jesus, stoped by the table several times to make sure everything was perfect. Rafa, Jose Luis, the entire staff will make sure ANYTHING YOU NEED is met, and the cherry on top is Celestino, the Concierge. He is family now! Always with a smile, a good advice and a kind heart.  I will never change my stay in Mexico City: Live Aqua is my home away form home!"
1689275552-2,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,6,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-or50-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"Great experience. Outstanding service, clean, beautiful. Great amenities.  It is located next to the mall with great restaurants, shops and movie theaters.  It has become my favorite place to stay. The gym trainers were amazing. All the facilities are very nice."
1689275552-3,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,6,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-or50-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"I can bet that Live Aqua hotel is one of the best hotels in Mexico. good gourmet, common areas very comfortables and specially the gym personal trainers , Benjamín Hernández and Daniel Sanchez are amazing. Not every gym offers personal trainers , and looking after my priorities as is the training for me , makes my stay perfect. I’ll be back to Live Aqua every time that I’ll be in Mexico City."
1689275552-4,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,6,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-or50-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"Excelent service, awesome spa, the room was amazing! I really enjoyed it! And I highly recommend it! All the sanity measures in place! Come and enjoy it yourself! Specially the spa, the massage was great!"
1689275552-5,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,6,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-or50-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,Always come back awesome service location quiet  Super nice food and shopping right next door all you need in a five star hotel The staff is estar helpful  great spa and gym we will be back Wife loves it we experienced room service and it was fast and well presented
1689275552-6,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,6,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-or50-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"Hotel room is very clean, fresh and modern. The gym was amazing as well with great machines and everything necessary for a good workout. Furthermore Benjamin who works at the gym was extremely helpful and friendly. To sum it up it’s a great hotel and the gym is well worth a visit."
1689275552-7,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,6,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-or50-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"I had a great 80 min spa!! One of the best with Elsa. If you are staying at the aqua hotel in Arcos Bosques or you are around don’t hesitate to stop by.  Everything was great; the facilities are clean and sanitise, the light, the music and best of all they were all very nice and the massage and the facial was increíble."
1689275552-8,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,6,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-or50-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"This is the first time in my whole life that I stay in a hotel that feels all my expectancies and more!!! They really made me feel like home, Celestino in the concierge area, Diana in the restaurant and all the employees are very kind and very helpful, I couldn’t recommend this hotel more; for sure with no doubt I recommend this hotel because it is one of a kind!!!"
1689275552-9,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,6,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-or50-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,Excelent food. The service and quality of waiters could not be better! We enjoyed the fresh fruit and delicious green juice. Everybody very polite and willing to make our meal exceptional. Great team!! We appreciated all the sanitation protocol. I am more than willing to recommend Live Aqua's restaurant. Hope to see more guests soon.
1689275552-10,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,6,https://www.tripadvisor.com/Hotel_Review-g150800-d3464247-Reviews-or50-Live_Aqua_Urban_Resort_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"- Everything is thought to have a great experience, so you will not even take care about anything! - Really well fast response at any hesitation you may have.  - Everything is so shine and you can even smell the calm inside the hotel."
