web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689737545-1","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or80-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","11","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or100-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","We just got back from our first trip to Mexico City and luckily, at the last minute we changed our hotel to the Camino Real.  And boy, are we glad we did. From a practical point of view, the hotels location is ideal, close enough to all the major sites and museums, but with just enough distance to be an oasis at the end of the day. My wife especially enjoyed the (heated) pool. while my 16 yr old son hit the gym every day. They have several restaurants and bars on sight, to be honest, we ate out most of the time, but I really enjoyed the breakfast buffet the one time we ate there. I had the Mexican dishes which were really good. My son thought the more traditional US food was so so. We were not pleased with our first room choice. We mentioned this right away and we were quickly"
"1689737545-2","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or80-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","11","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or100-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Camino Real was a great choice for us as a family needing 3 rooms. The staff is very friendly and the renovated rooms are lovely. We especially appreciated the gym and took advantage of several onsite restaurants. The location is great if you're visiting the museums and the park but with CDMX traffic, traveling to Zocolo and the historic sites is time consuming from here."
"1689737545-3","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or80-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","11","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or100-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Interesting place. Decided to give a second chance. Wish I didn’t   Place looks really tired and old fashioned. Check in was good. Once we were in our room the whole thing changed. We were placed in a room with absolutely no view. Yes. No view. And I’m not talking a roof or so. Place has no view. Not good if you at least like to see the sky.   Room is modest to say the least. I think this hotel carries and survives by reputation of better years.   Food at the restaurant ( Huerta? ) was not at adequate temperature. We decided to finish. We were starving.   Today we decided to stay in bed till 8 am. Impossible ! Every time someone uses the bathroom and shower, pipes make so much noise that is impossible to stay in rest.   Bathroom has no absorption of odor nor steam so if you take"
"1689737545-4","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or80-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","11","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or100-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","I stayed at Camino Real Polanco and my stay was amazing . Thanks To Mr. Kirnbauer GM and his staff I had a very nice stay. The room was spacious and impeccable and the location was perfect. Close to main attractions and most important I felt safe. The taxi pick up  area is inside the hotel which I thought was brilliant. Thanks again for making a rather stressful and quick travel so much easier!! I recommend this hotel if you are looking to find relaxation and great sleep in a busy place like Mexico City."
"1689737545-5","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or80-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","11","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or100-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","The location of the hotel and the breakfast are excellent. Rooms are very old and you have to walk a lot in order to reach your room. The corredors and the room are quite dark. There is a missing lightning everywhere. Clearly saving energy is very appreciated but new technology allows to get low consumption of energy and provide good quality of light"
"1689737545-6","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or80-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","11","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or100-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Added 1 extra night to the booking and they changed the tariff for the other 2 nights costing me an extra us100.. bar staff always expected tip but service was mediocre.. nice hotel but badly managed."
"1689737545-7","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or80-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","11","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or100-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Excellent service. Very quiet hotel. Good location. Lots of space. The architecture is unique and the staff are helpful.  Very good to have an ATM in the hotel and free WiFi. The gym and outdoor terrace were great additions too!"
"1689737545-8","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or80-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","11","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or100-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Over the last 40 years I have stayed at this hotel probably on average of 2 weeks @ year, excepting the last ten years when my travels did not take me to CDMX.  However, after a ten year hiatus, am happy to say the standards of the hotel have not suffered.  The title of this piece says almost everything you need to know.  The breakfast buffet is one of the very best I have experienced anywhere in the world."
"1689737545-9","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or80-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","11","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or100-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","I had business in Mexico City & stayed for two days after a conference there, so I actually found it a good base for exploring the city. The rooms are boring corporate, but they have everything you need & are very clean and not expensive. The hotel absorbs people so despite hundreds of rooms it did not feel crowded. There’s a good pool.The architecture is supposedly by a famous Mexican architect, and features water. The concierges are extremely helpful, & went above & beyond to help us when we had a phone disaster. In fact all staff were friendly.  Not everything works however- like their credit card machines. Food is overpriced & not great value"
"1689737545-10","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or80-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","11","https://www.tripadvisor.com/Hotel_Review-g150800-d156086-Reviews-or100-Camino_Real_Polanco_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Service staff means well and they try to do a good job but hotel management has no appreciation for guests. The hotel is very dated, rooms are old and run down. The check-in process is painful - the check-in staff are loathed to process your stay. This place is stuck in the 1970's. You can do a lot better."
