web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689929442-1","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or80-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or100-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html","Wow!  This resort is so much fun!  We went with a group of friends/co-workers for 4 nights, and absolutely fell in love with Club Med.  We stayed in a superior room in the Aguamarina section with a walk-out furnished verandah overlooking the ocean.  This was an ideal location for the water sports, tennis/pickelball courts, infinity pool (with walk-in entry), and one of the restaurants.  Shuttle service runs constantly between this area and the main beach/pool area.    We participated in several of the activities offered (snorkeling, pickleball, archery, kayaking, salsa dancing, sailing, cooking lessons, beach volleyball, bocce ball, ping pong, water volleyball, water basketball, musical performances, sunset cruise, turtle watching) and just didn't have time for all the"
"1689929442-2","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or80-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or100-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html","This was meant to be! I came to Club Med Cancún with my mom and left with life long friends and a Club Med family I hope to continue to see for years to come! This is a perfect trip for adult singles, extended families, groups of friends, and literally anyone who is interested in having a great time!!!"
"1689929442-3","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or80-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or100-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html","Thank you Cassie, Sammy, Eugenia, Yelena, Sasha, Luisa, Jorge, Pamela, Lilou and Adrian for the best vacation I could ever ask for! From the tours to the events Club Med Cancun was a blast. The crew made me feel so welcome and kept up the immaculate vibes the week I was there. THANK YOU OLIVIA FOR THE BEST BIRTHDAY EVER !!!! you made turning 31 a memory I will never forget!! Ill be sure to come back!!   -Hakeem"
"1689929442-4","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or80-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or100-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html","I loved my vacation and I will definitely be coming back! One of the best parts of my trip is the Circus Group! They were really kind and awesome! Coco, Robinho, Paulo, and Ximena were amazing and made me love Trapeze! Their performances were awesome, cool, and I loved watching them do a lot of wonderful tricks!"
"1689929442-5","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or80-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or100-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html","Chief Jose Luis has the most incredible team of GOs. For example, Chris was a fantastic exercise instructor. She was very patient and encouraging, I will miss her workouts!  Sascha, Manuel, and their amazing team at Jade made the trip extra special. They were all so attentive and put such care into their food and drinks (best ahi tuna of my life). Sascha joined our family for dinner one evening which was a treat, he is a lovely human. We appreciated Sascha’s presence as he was very kind, fun, and personable.   We all had an amazing time thanks to these great people and many more :)"
"1689929442-6","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or80-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or100-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html","My vacation at club med Cancun was amazing. Serge was the best GO. All the activities and beaches were breathtaking. The color party and pool party were very energetic.I would love to come back and do more excursions."
"1689929442-7","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or80-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or100-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html","It was so much fun, the beaches are so pretty and clear. I did the teen club during the day and it was amazing. Serge is the best teen club med leader. He is super funny and he made club med an even better experience. I will definitely be returning to this club."
"1689929460-8","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or80-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or90-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html","Give Serge a raise. He is the best.  The Teens Club PASSWOLRD club is very fun and it’s very easy to make friends. I would recommend coming here with family and friends it is a very amazing place and everyone should come here."
"1689929460-9","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or80-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or90-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html","We spent one week at Club Med Cancun in June 2023, we had a great time. This was ou second stay at the Club.  The whole team made sure we enjoyed our vacations with a lot of sport activities (thank you Amine and Chrys), great food, good show and good party!  Olivia from the guest relation team answered all our questions and requests, she was super efficient and responsive.  The Club is super nice, very well located, perfect for families! We will definitely go back."
"1689929460-10","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or80-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g150807-d152890-Reviews-or90-Club_Med_Cancun-Cancun_Yucatan_Peninsula.html","I loved this vacation it was everything it should’ve been and it had exceeded my expectations. I joined the teen club and it was a lot of fun and I made so many friends, definitely will come back. Thank you club med cancun for making my stay incredible, special thanks to SERGE for being an amazing teens club PASSWORLD leader!"
