web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689961188-1","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or80-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or100-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html","The food choices are great, if you are an omnivore. If you are vegetarian, or heaven help us, vegan, your choices for your visit are going to be very limited. Questions about the ingredients of a dish are met with blank stares.   Overall, I liked my visit. The grounds are beautifully maintained. The Spa is remarkably over priced!! I think every one means well, but a few areas are missing.   Having alcohol part of the all-inclusive isn't always a good thing. I saw way too many visitors totally blotto, and acting like complete jerks."
"1689961188-2","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or80-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or100-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html","After 7 stays at the Cozumel iberostar, this is the last. Started coming in 2004.  My friends that travel with my husband and me are in complete agreement that in the future we will look for an all adult resort. The rooms are clean, the food good. Atmosphere wonderful and tropical. However, we are past wanting to be around tons of screaming. Unattended children.  We understand the bottom line of any business is bring in as many as you can. We don't begrudge iberostar. We also don't begrudge families for bringing their families. However, there's precious little for teenagers to do here at the resort and I feel sorry for them here. They can sit on their phone at home. Pool chairs have pool toys on them overnight saving for the chairs day after day, never giving anyone else a"
"1689961188-3","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or80-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or100-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html","Ismael is a funny guy great to be around and Rosa and Montse were very helpful. The bartender Julian is very good and helpful he works at the front desk and always makes the drinks so wonderful and amazing."
"1689961188-4","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or80-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or100-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html","Iberostar is the best hotel I have ever been at. The employees are very welcoming and helpful. The star camp members Ismael, Rosa, Montse are very nice and help with your little kids. Also Julian is the best bartender highly recommend him."
"1689961188-5","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or80-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or100-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html","This is a great location, especially for divers.  The dive shop is located right on site.  They offer 2 morning dives and 2 afternoon dives every day which allows for lots of flexibility for scheduling.  The Iberostar is the farthest hotel south on the island and is right on top of the best dive spots.  If you do a two tank dive, they actually come in to the dock in between dives so you can go to the bathroom and get a water or soda.  Most boat rides to the top sites were 15 minutes or less.  Great boats and dive shop.  The resort is great, it's laid out in little 4 room buildings so it feels very private.  Each has a deck with a hammock.  The beach and pool were great, we were always able to find a comfortable spot (Mid December so hotel may not have been full).  The food was"
"1689961188-6","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or80-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or100-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html","Ismael, Rosa, and Montse are the best! They have great food and amazing views here. The bartenders (Especially Julian) are polite and make great drinks for everyone. They have everything you need here including a gym, spa, and snack bar."
"1689961188-7","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or80-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or100-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html","amazing! love the star club, food, and entertainment. We love ismael, rosa. and montse . ANGELO IS THE BEST STAR MEMBER EVEN THO HES NOT HERE. Julian is the best bartender. highly Recommend. Make sure you participate in all activities!"
"1689961188-8","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or80-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or100-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html","My friends and I stayed here for week with their diving package and it was great. The suites were adorable and clean, good food, and friendly hospitality. The diving was also absolutely incredible. Would definitely come back"
"1689961211-9","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or80-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or90-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html","Had a fantastic time with my group of friends at this all inclusive resort.  Although the rooms smelled a little musty when we first arrived, the resort was beautiful and had an assortment of tropical animals all around, including flamingos, parrots, iguanas and turtles.  The cleaning crew did an excellent job of maintaining the rooms and the main part of the resort was always clean and inviting.  2 Marias Tex Mex restaurant was delicious.  The pool bartenders, Adrian and Manuel made delicious drinks to enjoy in the sun.  Daniela & Fabian were fantastic event coordinators who took time to converse with the customers and make them feel welcome.  Reyes and Isidro in the lobby bar worked extra hard to make our night caps delicious.  Our check out day was my birthday and when the"
"1689961211-10","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or80-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g150809-d184998-Reviews-or90-Iberostar_Cozumel-Cozumel_Yucatan_Peninsula.html","Daniela, Manuel, Adrian, Isidro, Reyes, and Eduardo are some of the best people at this resort.  The banquet staff was outstanding, the care is top notch. I have been to dozens of countries and stayed in places from hostels to 5 star hotels, and this place has it all.  I will be back, no doubt.  Thank you so much!"
