web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689735645-1","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or90-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or110-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html","I eat breakfast every day. The service of Cony and Elizabeth is very friendly and the food is exquisite. I suggest more staff to attend the restaurant. I am very happy with the service. Congratulations."
"1689735645-2","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or90-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or110-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html","The service was top notch. The room was hot even with the AC at the lowest setting, so it took a while before I could get cool and comfortable. That’s the only reason I didn’t give 5 stars. Other than that, the service was exceptional, and the hotel was clean and kept."
"1689735645-3","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or90-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or110-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html","We booked 6 double rooms.  All were nice, clean, and spacious (on the fourth floor) except room 605.  The setup was a little cramped, but the bathroom was the real issue.  It was a lot smaller compare to the others, water was leaking, and they had mold/mildew.  Not sure if it’s bc it’s an older room...    We had the lunch buffet and the food was surprisingly good.  I think it was about $15/person but had fresh seafood, jumbo shrimp, scallops, crabs, fish, tacos, paella, ...a lot of good food.  It was convenient for us to grab breakfast and coffee in the morning before we start our day.   Location was really convenient.  We walked around at night to eat dinner and felt safe.  It took about 10 min to Uber to Roma.    Everyone at the front desk and doorman were super friendly and"
"1689735645-4","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or90-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or110-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html","I stayed in this hotel for only one night upon departing Mexico and I wish I could have stayed longer.  The room was comfortable, though small, and the bathroom was more than adequate with a jacuzzi tub and nice toiletries made of Mayan honey."
"1689735645-5","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or90-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or110-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Emporio Reforma is a 3.5 Star hotel centrally located on the grand Paseo de la Reforma but if you factor in the conversation rate to what you’d think the US version of 3.5 this is more like a 2.5. Dingy check in. Desk agents friendly with limited English. Rooms with chipping paint 🎨 and bathrooms 🚽 that have a sewage back up odor. Oh the view is of the wall of building next door that’s 15 feet away. Breakfast 🥞 place was hopping as if the locals use it too and was tasty 😋. Over all an “average” experience and thus 3-stars."
"1689735645-6","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or90-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or110-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Great bed and a bathtub in the smallish but comfy junior suite.  Perfect for us. Staff helpful, clean, safe, perfect location a short stroll from the Almeda and not far from the museos in the other direction down Reforma.  On Sunday until around 2pm, Reforma is closed to traffic for bikers, runners, and walkers which is lovely."
"1689735645-7","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or90-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or110-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Every person that worked at the hotel was very welcoming and friendly from the moment we stepped in the door. The food in their restaurant was amazing and to top it off the hotel has a small gym as well. I truly enjoyed my stay here and will not mind staying here again one bit. Thank you. Muchas gracias por todo."
"1689735645-8","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or90-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or110-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Good location on Paseo de La Reforma, just in front of Senate. There are restaurants and cafes around. The place itself is a bit ran down. We had a split visit and got two different rooms in the new building behind the classical one, shown on photos. The rooms were very small, with not a lot of free space to move, but the bed was comfortable. My main problem was the bathroom, not the one you expect from 4 stars hotel. It was outdated with the shower head, that couldn't be moved. In the first room it was sprinkling out the water in all directions.  The service and the reception was very professional and friendly."
"1689735645-9","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or90-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or110-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Our standard room was really just standard. The bed is tiny, the room is small with just one bed stand and much room for you close. 6 nights in that room feels a bit cramped. The room was quiet, clean with good wifi. The restaurant is surprisingly good and cheap, we ate there 2 nights. In the morning it is very busy and even though our breakfast was included we were still told to sign (more or less slapped with) a bill for the breakfast with not much of an explanation, as our spanish is limited. Otherwise the service in the restaurant was busy, but kind. The breakfast is good, diversified and tasty, but the salsas was HOT - be careful. The guys in the reception are nice and helpful. At the reception we also got in touch with Romelo, who we hired as a guide/chauffeur for several"
"1689735645-10","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or90-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d154659-Reviews-or110-Emporio_Hotel-Mexico_City_Central_Mexico_and_Gulf_Coast.html","We recently spent ten days at this hotel and it was almost a home away from home. After spending our first night in our rather smallish room, we requested an upgrade to a larger unit. For a modest upcharge we were put into a junior suite which was much more suitable for us.  The entire staff was friendly and most helpful, in particular these three on the front desk: Mario Chong, Luis Garcia and Gustavo Viveros. Thank You Gentlemen! We had breakfast each morning in either the Coffee Shop or the restaurant up one floor. Both were very good and willing to do any special requests we had. Four members of the restaurant staff were particularly helpful. Mario, the Maitre D', and waiters Martin, Ismael and Fernando who is multilingual. Our room was most comfortable and our king size bed"
