web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689736228-1","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-or50-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","The concierge service by Ronniel was excellent. Whenever I asked him many places inside and outside the City, he accurately recommended the ways and places to visit during working days and weekend. As the location is excellent, people came to this hotel for meetings. Also, GYM was convenient."
"1689736228-2","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-or50-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","We enjoyed our hotel stay very much. The room itself is basic comparable to a  Courtyard Marriott hotel. Our room is quiet with window view of the angel of independence statue. I slept like a baby here and i am a light sleeper! The bed and pillows are very comfortable . The staff is all great and courteous. The breakfast buffet is worth it. The restaurant is also very good! We watch the  Superbowl at the bar and had some great piña coladas. Very convenient location and walkable to a lot of stuff. I will use this hotel again if im back to CDMX . Highly recommend."
"1689736228-3","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-or50-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","We stayed here for 5 nights.   The hotel staff was amazingly helpful and kind.  The lobby was very nice but we did not eat at the hotel restaurants or visit the hotel bar.  The restaurants looked amazing but we were looking for some 'local' spots each day to eat.   For ""touring"" CDMX I thought the location was 'close enough"" to Polanco, but also to Zocalo as well as points North (like Teotihuacan) and South (like Condesa, Roma, San Angel).   The rooms were nice, clean, comfortable and spacious.  Nothing spectacular but I was not looking for spectacular."
"1689736228-4","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-or50-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","The hotel staff in particularly the concierge crew made my stay particularly special. They helped with scheduling my tours, assisted with directing me to reliable services I needed during my stay, and made excellent restaurant recommendations. I used the pool on multiple occasions to wind down while enjoying a tasty beverage. The hotel is located in a safe zone within walking distance to tourist attractions and great food."
"1689736228-5","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-or50-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Reception staff need to educate for service. They didn't know I was booked 1 night or 2 nights. When I check out the reception staff was poor attendance and he doesn't know if I have 3,000pesos guarantee amount to cancel ."
"1689736228-6","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-or50-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","This hotel is top notch so clean and everyone is eager to help you. You can expect round the clock help. The AC is perfect and all the room amenities are great. The restaurants are ok as well! Super easy to walk and taxis park right out front if you need em"
"1689736228-7","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-or50-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","From the moment we entered the hotel, the staff couldn't have been more polite and attentive.  We had to wait 2 hours for our room as we got in early, so we ate lunch at the fabulous restaurant and again, the staff couldn't have been nicer and accomodating.  At 3 pm on the dot our room was ready. Excellent service.  Also loved the gym and the roof top swimming pool! Breakfast served until noon, checkout as late as 1 pm! That is civilized.  Yes, we will come back again!"
"1689736228-8","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-or50-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Staff amazing, nice roof top pool. 2nd room floor had a poor view over the roof, which made the value for money slightly worse. However would stay again, and the restaurants either side were very good. Location also excellent"
"1689736228-9","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-or50-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","For the price I paid, this place is very nice, in a great location, and offers a lot of value.  HOWEVER, if you work remotely, your VPN will probably not connect. I am grateful I attempted to connect to the system the night I arrived so i had a chance to figure out what I would do for work the following day, which ended up translating to me working from Starbucks about 5 minutes away."
"1689736228-10","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d169795-Reviews-or50-Galeria_Plaza_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Safe, close to everything + the food in the restaurant was delicious, I ordered glasses of wine, and they were brought right away. The gym was ready to continue with his goals. I will definitely be back soon to continue exploring Mexico City."
