web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1690017058-1","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or80-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html#REVIEWS","4","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or30-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html","There are plenty of good restaurants within a walking distance such as La Tequila, La Mantera, La Alcachofa to name a few. A great shopping center devoted to shoes. The only issue that we experience is the noise on weekends from the roof top bar across the avenue which can last until 3 AM. On the facility, they need to have better window locks since it is quite risk if you have children"
"1690017058-2","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or80-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html#REVIEWS","4","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or30-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html","This hotel sucks.. I called downstairs for Internet problem and told me this was an outside problem.. And can't be fixed.. Then A/C was down most of the time..! After the second time I called they wouldn't answer phones.. Breakfast staff was really nice tho!"
"1690017058-3","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or80-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html#REVIEWS","4","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or30-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html","This hotel is like a youth hostel, nothing works and everything smells, I booked a suite (room 204) and as I enter the room I thought it was pretty nice, but as tI settled in it showed its true colors, the AC didn't work properly, the internet was down (called the reception 3 times and everytime the same answer ""It's an outside problem"") the shower curtin smelled like an old wet rag, the breakfast looked so bad I only eat a couple of cookies. Totally avoid this place"
"1690017058-4","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or80-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html#REVIEWS","4","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or30-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html","Service was not bad, staff was nice, but the hotel has several issues: the safety box was not working, they did fix the problem after a long wait, we noticed on our last day the door to the hall would not close until after several attempts so you don't realize anyone can enter your room and steal your belongingd. Our room had no windows, which is really depressing."
"1690017058-5","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or80-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html#REVIEWS","4","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or30-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html","Everything about this hotel was great, rooms, views, location, service and breakfast was included!  Great access from the street and close to many good amenities including the shoe mall!  Will definitely make this my hotel of choice when visiting Guadalajara."
"1690017058-6","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or80-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html#REVIEWS","4","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or30-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html","Well located but one of those hotels that leaves you with a bitter sour taste in your mouth. The rooms are ok in size and the place could be much better if only they would upgrade it just a bit. Sincerely, I would rather stay in another place if I could have a chance. The breakfast is lousy. The service is OK. The rooms need an urgent ipgrade and the amenities and room comfort are barely ok."
"1690017058-7","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or80-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html#REVIEWS","4","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or30-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html","I stayed 2 nights in this hotel for my business trip. It has a quite good location in the city. And the room is really great. The room is exactly similar with the pictures on the website. The bell boys are well trained. Also, there are some good restaurants around the hotel and also an OXXO. Really recommend this hotel."
"1690017058-8","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or80-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html#REVIEWS","4","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or30-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html","Since we only stayed there the one night after arriving in Guadalajara, we didn't check out the ammenities.  Our 9th floor king room was spotless with a comfortable bed and great shower in the bathroom.    Liked the valet parking included and found them efficient at retrieving our vehicle.  Numerous restaurants within easy walking distance but since we were there on a Sunday night, we found many of them closed quite early.  Nice bakery (Goiti's) just up the street to get morning rolls if one is so inclined."
"1690017058-9","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or80-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html#REVIEWS","4","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or30-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html","Walking nice and safe area, close to Plaza Mexico, and many wonderful restaurants, I love ""La Matera"" argentine food, just across the street. La Tequila is nice restaurant and Tintoreto, nice Italian food.  The rooms are ok, with a nice view of the skyline. I had new towels, and a bed with new sheets, very cozy. Very friendly staff, the breakfast after 9 is not so good, (they  do not refill the traits with the good stews). Gym is small but comfortable.  I like it, you should try it."
"1690017058-10","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or80-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html#REVIEWS","4","https://www.tripadvisor.com/Hotel_Review-g150798-d1987458-Reviews-or30-Hotel_Ejecutivo_Express-Guadalajara_Guadalajara_Metropolitan_Area.html","Room and interneet were OK. Breakfast was average. Very friendly staff. Good mexican (Jalisco food) at 10 min walking distance. Couple of mini markets 2 min walking distance. 30 min from the airport on taxi (280 pesos, I don't remember the exchange rate). Conference room (small to mid size, other available) worked well, no noise, not too bright for presentations, food was close."
