web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689930021-1","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or80-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or100-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html","Very beautiful, must visit. Workers are very friendly and attentive.Our butlers were AB and Hector and they did a great job on making sure our needs were met and that we were having a great time. They speak Spanish and English so that was very helpful."
"1689930021-2","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or80-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or100-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html","This property is very intimate which provides for exceptional service and a great time. Because the property isn't big, you truly get to know the staff and it makes the experience much better. There's personalized service throughout, staff is really friendly, and there's nice activities on and off property. Highly recommend!"
"1689930021-3","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or80-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or100-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html","Horrible experience. We were invited to the hotel by the Legendary Vacation Club company. Please take my advice into consideration and do not get scammed. It was a huge waist of our time, at the end they offered us a day pass as a “gift certificate” which I am being charged for now. They also offered 2 all inclusive tour experience as an incentive to go hear their offers which at the end we would have to pay expensive transportation if we accepted so we just ended up wasting a full day of our vacation time :( The resort was deficient in many ways. If you want to experience this beautiful part of Mexico look for a better option worthy of your money."
"1689930021-4","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or80-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or100-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html","This is my husband and I’s second trip to HR Cancun- last one being in 2018. We truly loved it both times though there were some notable changes, as to be expected after 5 years. The food was very good- the romantic dinner by the beach was gorgeous. We spent majority of our time at the pool and had the best service from Principe- he was AMAZING and made you feel like you were the most important person in the pool even though he was serving well over 20 people at a time. We did miss the taco bar that used to be by the pool but the burgers and pizza held us over until dinner. Maintenance was being done at the time but honestly we didn’t notice the noise much as we were just focused on enjoying ourselves. Our ONLY major complaint is the pushy sales to become Legendary members which"
"1689930021-5","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or80-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or100-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html","One of the great resort in Cancun, the crew is very helpful and kind. Also very clean place to stay, with great restaurants and bars. Goretti was really nice the whole time. Thanks for the great place."
"1689930021-6","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or80-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or100-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html","The first time staying at Hard Rock, the first time in Mexico was a great experience. The staff, food, room, listening to ocean in the morning, great experience! I have told my friends and family to stay here. I will be back!"
"1689930021-7","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or80-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or100-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html","I really wanted to give this resort a five-star review but two areas of the experience frustrated me. Check in and check out are not efficient processes and take quite a bit of time to complete. Also the upselling of the resort both at check-in and check out, I do not enjoy.  The hotel itself is older, but if you can get past the aesthetic, it's a wonderful place to stay. The staff there is super accommodating, super friendly and are a great time to interact with. The food is quite good with my favorite restaurant being Toro with a very close second being zenn.  Every night the wait stuff of all the establishments were accommodating and quick with refills or any accommodation.  The hotel room itself is dated but they are doing renovations.  Our room was with an ocean view. The"
"1689930021-8","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or80-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or100-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html","For the price they charge this resort is not worth it. Food is very average. Pool and room need updates and maintenance. Broken tiles all over the pool - cutting hazards.   Staff is the only saving grace. They are very helpful and positive overall. However until the resort resolves it’s maintenance and food quality issues - save your money and go elsewhere."
"1689930041-9","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or80-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or90-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html","Where do I even begin with this review  After paying well over $4000 for two for 6 nights we were left beyond disappointed with not only the state of the resort but the staff treatment as well, if we count the whole group as a whole, the money spent was close to $13,000.  Hard Rock bases their guests attendance ON MEMBERSHIPS, hence you’ll see wristbands of different colors everywhere, this is for the staff to identify who deserves a better service despite how much people has paid for their vacation, and all this is a problem that corporation is very well aware of, I’ll explain soon.   The resort needs to close down for a while and be completely renovated, hallway ceilings are moldy, leaky and swelled up to the point it’s cracking, soon they will start falling apart, not to"
"1689930041-10","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or80-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g150807-d152896-Reviews-or90-Hard_Rock_Hotel_Cancun-Cancun_Yucatan_Peninsula.html","I stayed at the Hard Rock Hotel from 9th - 12th May 2023 during a business trip. The surroundings were always spotless, the staff super friendly and the live nightly entertainment was top notch.   While the restaurants did lack variety in my opinion, overall my stay was comfortable and I would definitely recommend to family and friends."
