web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689910010-1","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or80-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or100-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html","This place is beautiful and the best experience I've had. The staff and so friendly and helpful. They make you feel amongst friends not strangers. The food at the buffet is really good. You here buffet and you don't think it'll be that great but it was really great with just enough options. The food in the Restaurants are a little limited and threw isn't much air conditioner there, but again the staff is great. Everything was clean and convenient. Alejandro and Jeu were just amazing. Making friends amongst strangers with them meant the world. The rooms are just stunning. One word to the wise do not leave your balcony door open or your room will immediately become a slip 'n slide even a small cracked door. Oversll for me 10/10"
"1689910010-2","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or80-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or100-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html","This was our first time out of the Country and our first time at all inclusive adult resort.  Overall If I was rating out of a 10 I would give this 9/10.  We had a big party of friends, so the only downfall it was harder to get us in the restaurants early enough to enjoy the experince- We felt rushed by the staff due to the time of 2 nights.  The last night at Tahini was the absolute best customer service, they were opening, friendly and took their time with our party.  I really appreciated that.  Vista Restaurant was another restaurant that was amazing for breakfast and lunch! Our room was so nice! Clean, the cleaning staff were amazing! We ended up getting the swim out, if you are looking for more privacy do  not get the swim out room.  We had a random neighbor come out,"
"1689910010-3","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or80-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or100-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html","A beautiful resort, staff are super nice. We were at the serenity and had an amazing experience.   The Mexican Buffet is outstanding! Some of the restaurants are also good, we liked the steak house and the Asian, the rest of the restaurants are average.   Drinks are OK, I kept drinking Mezcal and spicy Margarita. Michel** and Anotion's coctails are nice. But the guy at Mixology Bar (Main building) I think his name is Miguel he is the best!   We spent most or our time at the main pool just because of the activities. Pepe is a great fun, and there was another (petite) lady forgot her name but they had the best energy with fun activities.  If you have the time go to visit Isla Moujeres it's fun. I wouldn't take the tours from the hotel, I think online you can find much cheaper"
"1689910010-4","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or80-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or100-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html","The resort was fantastic! Our concierge Angel was awesome and so very helpful! The multiple restaurant options on site were all delicious. All of the staff were courteous and very helpful. We stayed in a swim out ocean view room...and it did not disappoint.  Our favorite restaurant was Agua Bendita! We have recommended this resort to all of our friends and family. This was our 2nd stay at this resort."
"1689910010-5","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or80-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or100-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html","The service standard and quality of Haven was top notch; second to none. It wasn’t as busy as other hotels which we loved. It was calm, serene but with good activity at night which wasn’t too noisy. My wife and I got the swim out suite and we loved every bit of it. I highly, highly recommend this hotel if you’re looking for a place to relax in Cancun. It’s also only 15-20 minutes away from the airport which was great"
"1689910010-6","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or80-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or100-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html","There were 14 of us and the butler did a great job getting us dinner reservations together. Rooms were clean and staff were very nice. Room service was fairly quick. The macrame class was really fun and interactive. They have a catamaran, kayak, and paddle board service; it costs $3 for unlimited use."
"1689910010-7","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or80-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or100-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html","Haven Riveria Cancun is for the couple that is looking to just relax, soak up the sun, and drink. Food is decent, the drinks are good. The staff goes out of their way to help you. Rooms are comfortable. Entertainment at night is comparable to a cruise ship shows, they were good. Definitely, it is not a singles party resort, it’s for couples."
"1689910010-8","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or80-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or100-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html","Loved the whole resort was laid out nice. The food was good. Even the beach was nice. The pools was where everything was happening during the day. Limes bar at night was the bar to be at. Here were shows every night at moons."
"1689910010-9","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or80-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or100-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html","Best spot for adults to relax and have a good time. Restaurants were great. Pools were awesome. Spa was amazing. Drinks were good. Try a Miami vice it's so good and their strawberry margaritas with tajin on the rim. I will also post a blog on YouTube for you to see my experience there."
"1689910010-10","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or80-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d13499839-Reviews-or100-Haven_Riviera_Cancun-Cancun_Yucatan_Peninsula.html","This was my first trip to Cancun and the experience was incredible to say the least! I came with a friend to celebrate my birthday and stayed a week. Our bellman Alberto started the trip off with many jokes and set the tone for a great week. The service, Brandon gave us with laughter at the bar a tour of the serenity club, treating us to a special birthday dinner and giving tips on where to go in town, made this birthday one I will never forget. Michel and Raul joked and laughed with us at the poolside bars every day. Angie walked our drinks to the tiki hut on the beach front, and anticipated our needs for refills without us having to track her down or place an order with her. I must say having our first drink of the day pop up out of no where with no order truly have me the"
