web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689739979-1","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or100-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","I will start out with the positive, the staff are generally good and try to help.   Now on to the negatives, the hotel is in poor condition.  The buildings are outdated and the beds dont have headboards (see pic).  The food is subpar and always cold.  The drinks are the lowest premium and they reuse the plastic cups.   Birds are everywhere and they eat off of the food that the staff leaves sitting around.  Old food and bird poop everywhere you eat ( see pics ).   The staff for some reason always wanted to see our wristbands but never asked anyone else.   We are in trying times, money and vacation are a blessing so dont go here !!!   This resort caters to locals and Spanish-speaking customers."
"1689739979-2","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or100-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","We had an amazing time, we loved the hotel and the room was nice and clean, upon arrival a gentleman from Veracruz showed us the way and help us with questions he was outstanding. the personnel was super friendly, the Thai restaurant was delicious the chef Oscar and Angelica make sure we had a great time! In the bar, Marcos makes sure we always have cool drinks and even makes me a special cocktail for Mother's day!  The Mexican night on Tuesdays is must!  We will definitely go back!"
"1689739979-3","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or100-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","I booked this hotel not knowing very much about Cancun.  Once I arrived, I was hesitant to stay there based on the reviews, but decided to go check it out since I had already booked it.  The place looked run down from the outside.  I walked around the area, and did not see many people enjoying the pool and no one was a the small area of the beach that belong to the hotel.  It looked empty . I asked to see the rooms and was told that I could not see them until I checked in - not a good sign.  I am sure that if the outside was run down, the inside was in similar shape.  They took my money since they have a no refund policy."
"1689739979-4","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or100-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","My friend and I visited from Canada and stayed here for a couple nights and all we have to say is wow!! The room, the resort and beach was beautiful, the drinks were great and the food was always fresh. the staff was so friendly, shoutout to Kevin for all of his help, he made our stay spectacular :) we will definitely be back whenever we plan our next trip to Cancun!"
"1689739979-5","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or100-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","Hotel is dirty service horrible and arrogant staff I have not been in such a dump since I was a student not worth the money this was my wedding trip and this hotel destroyed everything  loud music at night at pool food under par Anthony worst things is the staff that discriminates against foreigners"
"1689739979-6","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or100-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","great service, high professionalism.  highest kudos to Angeli and Alexis. hotel not the newest but clean.  good food, great animations, service of the poolside bars of the highest standards. very good location in Cancun. I sincerely recommend it - a very good relation of the offer to the prices"
"1689739979-7","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or100-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","The service was not the best. The people at the front desk can be short and rude. The food was not the best but the drinks were great.  The first room that we were given was dark and had a weird smell, the hot water did not work. We requested to have our room changed and the second room was okay but definitely not a great room.   We will definitely stay at a different hotel next time we travel to Cancun."
"1689739979-8","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or100-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","Okay, so are you British, or solely English speaking (or just not a speaker of Spanish), this may not be the hotel for you. I say that lightly, because if you do not want to be bothered and want full relaxtion, it most definetely is the place. So, the check in. We had travelled for 15 hours, been awake for nearly 30 and arrived at 8.30am. I let the hotel know in advance that we would be arriving at this time, however we were still unable to check in until 3pm. Which was very annoying. We had to wait to get to a room to sleep in and so made use of the bar.. which was closed until 11am, so we went down to the beach (which has bars, but is not part of this review). At 11am on the dot, we went to the bar near the Cielo restaurant, got a tequila sunrise and a beer and waited around"
"1689739979-9","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or100-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","It was our first travel to Mexico 🇲🇽  Nice country with fanny  people.  Caribbean Sea is perfect 🤩   Big thanks for Rebeca Hernandez (from restaurant) for very good services and her beautiful  smile.                                                                                                                        Best regards,  Oliver Kahn and family From Ukraine 🇺🇦"
"1689739979-10","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or100-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","Excellent service, beyond and and about .....simply the extra mile, this guys were no joke. ANGEL ,FERNANDO , HANNIA , DULCE , SAULO , ALEX , LUIS , took it out of the park!!!!! Question answer , service insane, extremely fast ,curious, respectful, by the book and did not care yo go the extra mile"
"1689740009-11","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","10","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or90-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","The staff are very welcoming, Saulo, Alex, Hannia and Estaban were great fun and made us feel included! Loved the volleyball every day ❤️  Amaziny Bar staff especially Pedro !  Overall a brilliant holiday thank you so much!!"
"1689740009-12","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","10","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or90-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","In my opinion, the best restaurant on the hotel with the best bar service by Marco Valle, who is also the best bartender of Cancún... must visit this great, pacefull and cool place where u can stay all your hollydays"
"1689740009-13","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","10","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or90-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","Our stay was amazing, but the best part was the attention in the food place and with the Mr. Marco Valle, the Barman on the Cielito Lindo restaurant. Mr. Marco has the best music (reggae, ska, rock), attention, jokes and good vibe. If you visit Dos Playas, your first visit it must be to the bar with Mr. Marco for a Piña Colada. ✨"
"1689740009-14","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","10","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or90-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","Carlos, Alberto, and Ismael were wonderful! We thoroughly enjoyed our evening at the Tai restaurant in Dos Playas. The chicken and the dessert were absolutely  delicious! We will definitely visit again soon!"
"1689740009-15","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","10","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or90-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","Having a lovely time at the Hotel Franda Dos Playas! I've really enjoyed the beaches, relaxing pools and food! In particular the food and drinks at the Thai restaurant were the highlight! I loved the house cocktails and chicken curry! A big thank you to Carlos, Alberto and Ismael who were exceptional!"
"1689740009-16","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","10","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or90-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","Very nice service in the Thai Restaurant. Carlos, Alberto and Ismael were so nice and attentive. The best food in the restaurant, no doubt. Its by reservation though, so make sure you make your reservation ahead of time. Highly recommend getting the guava house drink!"
"1689740009-17","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","10","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or90-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","I enjoyed myself at Hotel Dos Playas. It’s close to the Ferry and it’s on the ocean side. The beach area is nice and clean. The service was excellent. They have shows every night. I had a lot of fun with Esteban, Saulo, Alex, Hannia, and Jose. That was my favorite show, they had me laughing!"
"1689740009-18","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","10","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or90-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","We went second time to Mexico,this time was huge disappointment. Very dirty hotel, after complain to Love holidays they send as to another room which was smaller and felt like panishment. Staff speak very little English, in hotel mostly Spanish speaking people. We felt like isolated and discriminated! Food wise  names in Spanish unable to understand having food allergy struggle every day. Food was good. Plates always dirty. The burgers looked terble and taste similar.  No choice in drink bar at all just beer and tequila and vodka plus rum.  Plus some blue and red additives.  Entertainment in Spanish language unable to participate.  Do not listen to staff.... Buy little gifts from the people walking on the beach, much cheeper.  Prices for gifts in town horrendous, like little"
"1689740009-19","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","10","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or90-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","WARNING TO ALL!!!  PLEASE DO NOT BOOK!!! TRUST THIS REVIEW!!!  I booked two weeks with all inclusive at this resort.  The food is really disgusting!!!!  You can not eat it. I expect at least decent food as I booked this vacation to relax and not worry about eating.   This is one of my worst bookings ever.  I have email formal complain directly to the hotel but I did not get any reply.  I will take this matter further and post on social media everywhere. This hotel resort is to be avoided. Nothing is as advertised.   The positive reviews which says otherwise are not true. Believe me I do not complain and I never leave review. However, travelling form far and being hungry for two weeks it is not a joke. I would not give any stars to this review."
"1689740009-20","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","10","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or90-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","Service and food was 5 star Oscar Reyes the chef was fantastic we had a great time as it was one of our first meals as a married couple all five courses were delicious and Angelica made sure to keep our drinks full"
"1689740042-21","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or70-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","Hotel was pretty good. Food was delicious . The drink bar also , especially barman Jose Rios , he was very helpful and nice . Greetings from guys from Poland , Adrian , Michal and Jarek. It was very nice vacation :)"
"1689740042-22","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or70-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","Jose Rios great service and tasty food and drinks!Our room was perfectly. Very positive personal. Cold beer!)) Beach and sea is unreal . We will back of course. A lot of activity in hotel, yoga, volleyball!"
"1689740042-23","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or70-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","Pros: - The staff was very friendly, especially Israel and Natanael at the Cielito Lindo restaurant. I would recommend making a reservation and having dinner there, the food was amazing (the best food in this hotel), and Israel gave us the best service ever.  - I also want to make a shout-out to the entertainment team, they did a great job during my stay with live music almost every night. People were dancing, and singing along which made me really love it. Cons: - Room is kinda outdated: you can hear people talking from the outside all the time, the faucet was leaking, the toilet wasn't flushing, etc.  - The food from the buffet was not good at all, but I asked some people and they said it was good, so I guess this is just my personal opinion. I prefer having dinner at Cielito"
"1689740042-24","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or70-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","It was good experience with hotel and the view they have is next level. Everyone is very friendly here. Jose and Pedro rockstar bar tender. Was worth the money spent. Mayan show was something I have never experienced before. A Big thanks to everyone for making our vacation one of a kind."
"1689740042-25","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or70-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","The hotel staff made us feel so welcome right from the start. Everyone was so friendly and helpful. The variety of food, drinks and the clean rooms were all fantastic, The beach was beautiful! Yeing and Miranda so helpful in the office, Drisdey greeted us daily making us feel like family. Jose Rios, Pedro and Marco Valle my friends!! Made us so many fantastic drinks,  We had a wonderful time and highly recommend Dos Playas."
"1689740042-26","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or80-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d1219889-Reviews-or70-Hotel_Dos_Playas_Faranda_Cancun-Cancun_Yucatan_Peninsula.html","The staff was so friendly and nice. Especially Pedro, Juan, Jose Rios and Josmar. Then those amazing animators – they had prepared programe for the whole day and they did it wonderfully. The food was really good, we were able to try an authentic Mexican cuisine. The only minus was, that the seaweed wasn't removed from the beach after a storm."
