web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689733431-1","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or80-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or100-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","The only place to stay in Mexico City, and it will be our choice when we return. Hands-down fabulous in every respect. From the initial communication with Alex via email, and then her welcoming us to the hotel. Everything was perfect. Every  member of staff  was welcoming and helpful. We were there to celebrate our 40th wedding anniversary and hotel celebrated with us with lovely decorations in our bedroom. The breakfast was delicious, and the walking tour was phenomenal. I could go on as every aspect was A++. Do yourself a favor and just book Hotel Histórico."
"1689733431-2","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or80-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or100-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","If you are looking for a place to stay in the Historic Center of Mexico City, you can stop.  This is the place to stay.  Everything about our stay was excellent.  The service at the front desk was top notch.  Rebeca and Alex were two names I remember for sure.  The service at the on-site cafe was great, and the selection was very nice.  The breakfast service was also great, and the food was very good.  The team helped us arrange a tour to the Teotihuacan Pyramids and the Basilica of Our Lady of Guadalupe.    The team arranged for a car service to pick us up from the airport, and to take us back.  The location of the hotel is perfect, walking distance to so many attractions and restaurants.  I give this hotel a 5 out of 5.   Thanks to the entire team for making our vacation so"
"1689733431-3","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or80-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or100-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Rated 5/5 as your money goes further here than anywhere else near the Zocalo! Breakfast and 24/7 sandwiches, coffee, and beer included was a real highlight. Special shout-out to Luis, Gonzalo, Arturo, Ancleves, & Alexander for preparing a delicious Mexican breakfast for us each morning. The room was clean, king sized bed was spacious and comfortable, and room service was incredibly attentive! The only thing worth mentioning that could have been better was our small room size and lack of an outward facing window (the window included just opened up to a sort of skylight). But for the price we paid and given we were out and about touring CDMX for most of our time at the hotel, this wasn’t a huge issue. Great location for meeting our tour group near the Palacio de Bellas Artes in"
"1689733431-4","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or80-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or100-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Great hotel in the Historic District. All of the staff were wonderful. The front desk crew was very helpful in providing recommendations. At breakfast we had Luis serve us most days and he was awesome. They are prompt and handle situations really well. Would definitely stay here again!"
"1689733431-5","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or80-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or100-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","We were very pleased with our servers for their great service. Arturo, Gonzalo and Luis went on and beyond to make our breakfasts enjoyable. Their recommendations saved us a lot of time and helps us to find the right places to visit. All the staff provided excellent service. I totally recommend this hotel"
"1689733431-6","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or80-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or100-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","This is our first time staying at Central Historical. The staffs are amazing, from front desk, housekeeping and restaurant are so eager to help, especially, Arturo, Gonzalo and Luis in the hotel‘s restaurant are very courteous and helpful. Keeping us tips where to shop and made suggestions on healthy meals."
"1689733431-7","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or80-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or100-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Such a beautiful hotel with incredible staff who greet and interact with you the entire time. Didier the door and bell man will remember your name and very helpful.  The rate we booked included daily breakfast which was of excellent quality and you can order as much as you like.  We also has included for free in our rate 24 hour access to the cafe for free beverages, wraps, paninis, salads, and deserts. Such a great experience and the good quality was again excellent.  There is a gym that gets the job done if you have time, and also a beautiful living wall of plants.   Two blocks or so to Zocalo in the beautiful historic district.  The rooms are well maintained.  If you stay here you will be incredibly happy!!!"
"1689733431-8","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or80-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or100-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","For our first visit to Mexico City we decided to explore the central historical area. Historico Central Hotel is well located with easy access to many sites, restaurants and shopping. The best part of the hotel is when you step inside you leave behind the hustle, bustle and noise of a very busy city! It’s like you’ve arrived at an oasis!       Upon arriving we were greeted by the always smiling, friendly front desk staff. Alejandra, Rebecca and Axel were always there making recommendations, reservations and assisting in any way they could.       We reserved a deluxe room with king bed. At first it seemed a bit strange that this interior room had no windows. But, it was dark and quiet, with a bed so comfortable that we slept very well, feeling refreshed in the morning. The"
"1689733431-9","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or80-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or100-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Location was great, short walking distance to many of CDMX famous buildings and historic places of interest. The hotel itself has breakfast included every morning with some top notch service! Specifically Luis, Gonzalo, and Roberto working the dining area. These 3 gentlemen made my short stay and breakfast experience so very pleasant and memorable. Food is made to order with a variety of options that will satisfy any palate or taste. Portions are also small to medium so you have an opportunity to choose different items which gives you a range of flavors! I can’t speak enough about the service at breakfast given by Luis, Gonzalo, and Roberto - all very polite, courteous, and sincere in their interactions. Note to readers, don’t spend your morning like a zombie on your phones,"
"1689733431-10","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or80-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or100-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Really, 5 stars are a little short for this hotel. I’ve been a frequent travel to different places and this hotel surpassed my expectations: located in the heart of everything and the most beautiful places in México city, the whole entire personnel are an A plus from check in to check out, free gourmet breakfast, cafeteria with gourmet coffee, pastries and bites to eat 24 hours, super secure, not to mention the beautiful antique building with excellent rooms from cleanliness, spacious with all the goodies included… etc. it really feels like a supreme hotel. I can go on and on but the last thing I would say: this will be my place to stay in México city for all my future trips."
