web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689732754-1","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or50-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","We stayed five nights and the service was great from Didier, Daniel to Roberto the server. All the staff is kind and helpful and their breakfast food is really good. We are definitely staying here again."
"1689732754-2","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or50-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","This hotel was amazing staff were very welcoming and attentive to your needs especially danny and dider were always more then willing to help if you had any questions or give you recommendations on the good spots around the area and we really appreciated it. The rooms were very clean and comfortable they had a mini fridge filled with complimentary water,juice and soda as well complimentary toiletries such as toothpaste, mouth wash, razor, shaving cream ect more then other hotels I have stayed at when they cleaned the room they also did an amazing job. Another things that was nice was that on every floor they had a mini fridge with complimentary water and fresh apples, not to mention free breakfast and they actually had a nice variety of food, drinks and pastries as well as a 24"
"1689732754-3","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or50-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","We had the most wonderful stay at Historico Central. From the moment we arrived the service was so good, the staff were very friendly, professional, kind and happy. The room was spacious and clean and the bed was so comfortable. The breakfasts were delicious, fresh juices and delicious items from the menu, our favourite was the Huevos Divorciadas.  The cafe provides complimentary refreshments to guests 24 hours a day, which really is above and beyond.  The hotel is nearby lots of sights, restaurants and shops and is very easy to get to from the airport.  I don’t think I could rate this hotel highly enough, everyone was wonderful and we hope to return. Thank you for an amazing stay! I have also put this review on hotels.com but wanted it to reach more people."
"1689732754-4","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or50-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","This hotel is amazing, not just for its beauty and cleanliness but mostly for the amazing staff they have here. Danny and Didier were amazing in helping us with anything we needed at the front as well as Jorge and Don Luis. The front desk ladies Laila and Andrea were especially welcoming and eager to help with anything! The kitchen staff Luis, Gonzalo, Arturo, Roberto, Andreas, and Guadeloupe were especially attentive and made our mornings very enjoyable, we have never eaten so well! If you want a great Mexican city experience  or never visited here before, this would be a great booking to make. Thank you!"
"1689732754-5","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or50-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","My name is Sofya and I’m from Moscow, Russia. This April me and my family’ve arrived to Mexico City for vacations , we spent our first 5  days in the historical centre of Mexico City. It was really wonderful time for us because we stayed in your good hotel. Historico Central is a small boutique- hotel, situated in the building with the 200 years history! The hotel is absolutely great - first of all, because of its wonderful personnel. All of them ( I’ m very sorry not to be able to mention here all the names!!!!) are really the people who are making you happy and relaxed every minute of your staying at the Historico Central: all the ladies at the front desk, estimado Armando - always so much helpful! Then - due to its location , interiors , so much tasty meal and amazing spirit"
"1689732754-6","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or50-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","We had a great stay! The best part are the amazing and kind staff.  Great touches throughout including complimentary water and apple on every floor, all inclusive 24 hour access to the cafe. We really enjoyed the great service at breakfast and can’t say enough good things about Luis, Arturo, Gonzalo and Robert. Also the gentlemen who greeted us so warmly at the door and always helped us out with everything (Didier and Daniel). The ladies at the front desk are all so warm and welcoming! Thank you for all the staff for making our stay extra special and memorable"
"1689732754-7","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or50-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","The hotel is incredibly clean inside and out..the staff is very attentive to all your needs.. concierge is very courteous and friendly..from the bellboys to the staff on the café to the cleaning staff and housekeeping...just above and beyond excellent service.. breakfast is always included and very very good, all made from scratch. The best part of our morning breakfast however was the 4 guys that are serving: Luis, Gonzalo, Arturo and Roberto. Aside from being very attentive to ALL the tables, they had a great personality. Very pleasant guys to get along with. After a week's stay we got to know each other by our first names and had us laughing early in the morning which kicked off our day in a happy way.. One thing I did notice is that the other hotel guests treated the servers"
"1689732754-8","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or50-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","The staff was exceptional from start to finish. The accommodations were top notch. Our stay included breakfast every day and the staff Roberto, Arturo and Luis were there to serve amd made our stay that much better. The food was excellent and the service at the deli also great. I would recommend this hotel to my friends and family."
"1689732754-9","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or50-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","We came to Mexico City for the MLB Padres Series.  We were here five days with family and friends.  We had three rooms.  Every single aspect of service was exceptional at Hotel Historico Central.  We were greeted by Daniel and he was so helpful, friendly, provided options when we asked about different activities and asked about the Padre game both nights!  The front desk checked us in quickly and were always helpful!  Even though we were early they ensured we were comfortable and expedited the rooms.  The mango Tequila shot was a great welcoming touch. The 24 hour cafe was great with coffees, juice, sandwiches, salads, soup and more included in our stay.  They had beer and wine too!  The morning breakfast was made to order and better than some meals we had in town. We had a"
"1689732754-10","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d8075233-Reviews-or50-Hotel_Historico_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Highly recommend this hotel. From them arranging for an airport pick-up at 1AM at airport to every morning being met with an amazing breakfast and wonderful coffee served with care and genuine interest by Luis, Roberto. y Arturo (a real bonus to staying here).. Take the walking tour!!! First day. We would never have learned and seen as many details and history otherwise!! Last but not least, the most comfortable beds ever!"
