web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689738712-1","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or90-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or110-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html","This hotel has excellent service and is in a fine location. I found the bed very comfortable and the room peaceful and safe. The food in the restaurants is okay but not great. It is very expensive in my opinion, but for the convenience of location and comfort I have stayed her twice."
"1689738712-2","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or90-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or110-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html","The staff, room and accommodations were excellent! Definitely enjoyed my stay. The room was more than adequate and clean. The staff kept the room clean while I was away for meetings, and they kept the in-room refrigerator stocked with snacks and drinks which was very nice to enjoy in the evenings when I returned to the room."
"1689738712-3","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or90-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or110-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html","My wife and I stayed at this hotel for a long weekend.  We found the staff to be friendly staff.  We enjoyed wonderful views of the park from an upper floor room.  We really enjoyed the great location, convenient to parks, museums, restaurants, and the very pleasant Polanco neighborhood."
"1689738712-4","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or90-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or110-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html","We were working in Mexico City and as always stayed at the Hyatt Regency.  The staff is very supportive no matter what silly thing we need.  This time it was shredding extra paperwork - note there is a shredder in the business center.    The food in the main restaurant is tasty.  I particularly liked the short rib tacos, but be warned, they are juicy so be prepared to make a mess.    The rooms are large, the closets ample, the how water in the shower is relaxing.    Overall a great property."
"1689738712-5","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or90-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or110-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Everything was above expectations. Hotel was in great condition.  Staff was so very helpful and so caring.  The food at the two restaurants we ate in was delicious and the presentation was superb.  The location of this hotel is the best."
"1689738712-6","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or90-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or110-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html","My preferred hotel when in business trips due its location, attentive service and staff and comfortable and functional room. I feel at home in Hyatt. Love the Japanese restaurants, AMADO pastelería y Rulfo."
"1689738712-7","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or90-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or110-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Wonderful hotel! Very clean, great rooms, good service, and good sleep quality. The place is very clean and upscale. The upstairs lounge was awesome, good food and drinks! The pool is wonderful. The breakfast is the best part! Fresh food and fruit, huge selection!"
"1689738712-8","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or90-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or110-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html","My family and I really enjoyed our stay at the Hyatt Regency Mexico City this past weekend!  The hotel is in excellent condition and I was treated really well as a Globalist.  The staff is excellent and very friendly.  Along w/enjoying the hotel itself, we also loved the neighborhood as there was plenty to walk to nearby and we felt safe the entire time.  I'll definitely look to stay here again on my next trip to Mexico City."
"1689738712-9","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or90-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or110-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Enrique, Carlos, and Guadalupe in the Rulfo restaurants were amazing/Arturo in the lobby is too perfect to accurately describe; 6 star customer service and we loved them extremely! Also, and forgive me as we can't remember her name, there was a kind and caring cleaner that was working the restrooms on the 2nd floor that was beyond wonderful. The only critique we have was a major one; the room heater would not stay on to match the temperature and would turn off after a few minutes - my wife and I both got sick because of it. In the restrooms there are automatic lights that turn on when you pass a sensor, with no ability to turn off the apparatus. Needless to say, when you have to go the restroom in the middle of the night, you get blinded yourself plus your partner wakes up"
"1689738712-10","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or90-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","12","https://www.tripadvisor.com/Hotel_Review-g150800-d152469-Reviews-or110-Hyatt_Regency_Mexico_City-Mexico_City_Central_Mexico_and_Gulf_Coast.html","From the super friendly staff, to the wonderful open hotel design, to the delicious in hotel meals, the Hyatt Regency Mexico City is AMAZING! I highly recommend this terrific hotel to any and all family and friends."
