web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689912643-1","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or130-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","16","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or150-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","This resort is nice but needs more restaurant choices; however the food was good at the few they have. Beach was great but having to pay for beach and pool beds is not necessary; there were many not used because of this.  Rooms were very nice and large and the ac worked great."
"1689912643-2","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or130-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","16","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or150-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","I had never been to an all inclusive resort before so I wasn’t sure what to expect on this trip. As soon as we arrived, we were greeted with smiles, champagne, and cool towels. The staff was all so warm and helpful during the entire stay. To my surprise, food and drinks were great. The resort itself was very nice and clean. There were enough activities that we didn’t even need to leave the resort to have fun! My friends and I (all late 20s-mid 30s) are already planning our trip next year. 10/10 recommend!"
"1689912643-3","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or130-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","16","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or150-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","The property is gorgeous and the food was very good. We had a swim up suite which was worth the extra expense. It was not crowded at all, we never had to wait for anything and would definitely return. Service was excellent and the staff was very friendly. We did have one staff member who was trying to get us to attend a Hyatt promotion in exchange for coupons/voucher, and we didn't like that. It is a laid back resort, so if you're looking for a party, this isn't your place. But we loved it."
"1689912643-4","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or130-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","16","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or150-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","Ok ok REALLL TALK NOW. Hands down the best vacation everrrr!! The entire staff was extremely attentive and the food is to die for not to say all the awesome activities from aqua cycling, Salas lessons, art painting with an ocean view and the most important of all they would make me pozole and chicken mole and deliver it to my room. Every night there was a show very entertaining. The Micheal Jackson show was pretty awesome.   ABEL at the Spice was so welcoming and friendly we became friends he made all my meals happen even if they were not on the menu. I got to meet the chef and personally thank him for my first class meals  Oh and not to brag even more it’s the most outstanding clean environment ever. Seriously I was in paradise.  I encourage anyone who reads my review it’s a"
"1689912643-5","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or130-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","16","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or150-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","The resort was beautiful and the staff was awesome. They really are concerned with making your stay the most memorable experience. We were always greeted with a smile. Loved everything about our trip."
"1689912643-6","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or130-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","16","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or150-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","How this place has so many raving and loyal fans is beyond me. The whole place needs a complete re-vamp. This is not a 5 star resort and the service is completely lacking. We split our week stay between 2 resorts and unfortunately, the first one was way better all around, making this even more disappointing. Let's get into it.  We arrived early, around 1:30pm fully expecting that our room wouldn't be ready. We are Hyatt members and booked a swim up suite. We did not receive a towel, or a drink, or any of the perks that others were receiving. No big deal. Our room was clean, but not ready for check-in. We needed something from our bags and they had tagged the wrong luggage and were in complete panic mode trying to figure out where it went. Finally, around 4, a staff member from"
"1689912643-7","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or130-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","16","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or150-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","From the moment we stepped into the property, my family of four (wife and 2 adult kids) were greeted with cold bottles of water and cold towels to wash out face off with. We ere quickly whisked away to our suites and while our kids got a regulars suite, I splurged a little and got the swim up….which, I would highly recommend.  Memorable staff include Jorgina, Jesus, Abimayel, Martin, Nina and Janett. They all made our experience truly amazing!!  Our favorite restaurant turned out to be Punta Vista although we tried all of them out. Great views and atmosphere with some amazing quality seafood and steaks!!  The flank steak at Maria Maria was a hit as well.  The cafe in the morning was a must stop and all of the workers there went above and beyond.  A no brainer in my mind and I"
"1689912643-8","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or130-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","16","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or150-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","The hotel and staff were amazing, so many different options of restaurants, the days were long and relaxing.  Staff always attentive.  Very safe, lots of entertainment and activities to entertain all ages.  Can’t wait to go back!"
"1689912643-9","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or130-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","16","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or150-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","Mediocre food, great room once we changed rooms (808 was noisy because of the restaurant fan that ran day and night) entertainment was not good, housekeeping was excellent, sunset  in the infinity lap pool on 3rd floor outside of gym was special, coffeeshop coffee was excellent, ocean colors magnificent. The spa experience (that came with the room upgrade) was surprising. It was great. Eddie at the spa - top notch.  The beach cabanas were also wonderful. Never thought I'd enjoy a cabana as I did. Very comfortable and relaxing and enjoyed the breeze and sun protection.  Maybe i better give it one more star, from 3 to 4.  Definitely not a 5 star....but better than a 3 star."
"1689912643-10","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or130-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","16","https://www.tripadvisor.com/Hotel_Review-g150807-d642781-Reviews-or150-Hyatt_Zilara_Cancun-Cancun_Yucatan_Peninsula.html","The pros- 1. Friendly staff 2. Beautiful resort 3. Quality food 4. All the rooms appear to have some variation of ocean view so that is nice 5. Cafe is one of these best we have been to  The cons 1. Another hotel with staff trying to lure you in with coupons and discounts to listen in on a 1 hour session of timeshare 2. Restaurant choices are limited compared to others at this price point. I don't think bars and Cafés should count as restaurants 3. We booked 7 rooms, one of them was located on the far end of the resort [room 123] and looked nothing like what we booked. It was dim with little lighting and much smaller rolm around the bed area. When we inquired, staff said no other rooms available which is probably just BS and laziness. 4. Annoyances such as, faulty jacuzzi,"
