web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689760989-1","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or80-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or100-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","We came here for our honeymoon and it was the most amazing experience! The resort is breathtakingly beautiful, and the atmosphere is so relaxing and peaceful! Our butlers, Gustavo and Roberto took such great care of us and drew up romantic bubble baths and had aromatherapy ready for us every night. Carlos and Omar supplied us with fresh cold water and plenty of towels on our beach cabana daily. The spa was so relaxing, especially our VIP romantic experience. Gerardo and Roger were our waiters on the beach for our romantic dinner and they had us laughing and smiling the whole time. And Thalia our concierge set up a whole itinerary and helped with every single want and need we had. The food here is absolutely amazing, the service is incredible, and we can’t wait to come back for"
"1689760989-2","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or80-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or100-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","Very relaxing stay at Le Blanc for our baby moon! Service from all the staff has been wonderful, especially from the beach staff and our butler. Delicious food & drinks at all the restaurants, would highly recommend!"
"1689760989-3","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or80-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or100-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","I would highly recommend Antonio our butler for his excellence in service, attentive, friendly, extremely helpful and last but not least Chef Heber an amazing chef treated us with the outmost respect and prepared an delightful seafood platter, my greatest wishes to you guys"
"1689760989-4","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or80-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or100-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","Great place fr quiet, relaxation and  unwinding. Staff have been attentive, especially Jeanette & Carlos on the beach. Our room has been spotless by Ysenvia as well. Highly recommend the visiting the spa. We did the golden vip romantic package and it was phenomenal. Exquisite gym and fitness classes."
"1689760989-5","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or80-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or100-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","Every foods are so delicious, and facility is so perfect. I’m from to Korea, maybe I will recommend to my friends who plan to travel Cancun. Finally everything is easy to use for Korean because of concierge 제하, and then menu in Korean etc.."
"1689760989-6","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or80-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or100-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","Amazing place. all the staffs are kind and atmosphere is very nice. Best resort for honeymoon! 한국인 컨시어지 제하분이 체크인 첫날부터 호텔 소개도 시켜주시고 한국어메뉴판도 있어서 음식도 잘 잘길 수 있었어요. 칸쿤에서 묶은 곳 중에서 가장 쾌적하고 음식이 맛있었숩니다! 강추!"
"1689760989-7","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or80-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or100-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","We LOVE Le Blanc Cancun! We brought our best friends this year and we all stayed 7 days. The best food, best pools, best beach, best service! Having the butler service at Le Blanc is a real game changer. The entire staff was so personable, friendly and helpful!  We're Palace Residence members now, and we can help you with any questions or booking your next Palace vacation! You can find us as CircleHVacations on FB, IG or TikTok.  We would highly recommend Le Blanc Cancun, as well as all the other Palace Resort properties!"
"1689760989-8","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or80-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or100-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","This resort was impeccable from the start to finish the service and food were amazing. BRITO was our waiter and he went ABOVE AND BEYOND for anything that was needed.  This is truly a high class facility and you will not find another hotel like this anywhere in the world. 5 star dining every meal we ate was delicious even the buffet.  Yama and the French resturant were our favourites  also we used the cabana service which was highly worth it.  If we are ever in Mexico again we will try the Cabo hotel as well.  Thank you for making our trip truly amazing"
"1689760989-9","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or80-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or100-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","We had a trip with our adult kids to Le Blanc Cancun.  This is one of my favorite resorts and it was great to share with the family just how pampering and stunning the resort is. The staff to guest ratio is part of the wonderful and attentive resort  experience that is signature to Le Blanc.   Roberto and Joel, the doormen, are gracious, offer a cool towel and handle luggage to all guests at arrival. The lobby is stunning in the simplicity and its signature fragrance of mint & cucumber. Room amenities are Bvlgari Blanc.  Guests receive a carnation and warm neck pillow and a refreshing coconut tropical drink at check in. The bracelet with the room key built in is very convenient. Our concierges Roger and Ingrid handle our dinner and spa bookings. Each floor also has day/evening"
"1689760989-10","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or80-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","11","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or100-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","The food was ok. Long wait times for room service and at the restaurants even with reservations.   There were issues with the hot water everyday around 11am-1pm where even on the cold settings it was scolding hot. The towels were rough.  The staff was overall friendly, the spa was nice!  I have visited both Le Blanc and the Los cabos locations is exceptionally better. I was looking to upgrade my membership but after the service we experienced here I’m not investing anything else into the Palace Elite franchise."
"1689761014-11","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or80-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","10","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or90-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","We loved our experience at Le Blanc Cancun! It was extremely relaxing. Our Butlers, Brito and Eduardo, took care of our every need and request. They are welcoming and attentive.  We will definitely be back!"
"1689761014-12","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or80-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","10","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or90-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","An absolutely wonderful experience first class service Antonio and Heber both daytime and evening time Butler Did a wonderful job wouldn’t be the same without these guys first class customer service.  We were here all week tried every single restaurant every single one first class service me and my wife, a huge foodie people to nothing to complain about.   The only thing I would have negative feedback with is the push to sell timeshare but I understand businesses need to make money but it was a hard sell."
