web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689761461-1","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","6","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or50-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","Excellent service, drinks and food! Make reservations for this great restaurant.  Alberto was our server and was so great with recommendations. Try the Bao buns, sweet and sour chicken, and momoten!"
"1689761461-2","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","6","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or50-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","So many wonderful things to say about this hotel. The restaurants and service were out of this world. Shout out to Christian and Alberto at Yama. Amazing atmosphere, impeccable service. We had high expectations for our stay here and they were still exceeded. Just make sure not to go to the “presentation”"
"1689761461-3","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","6","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or50-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","Amazing stay.  The resort is gorgeous and clean.    Food is great and the service is outstanding.  Everything we asked for was taken care of, no one ever says ""no"" to a request.    Our butlers Joel, Bristo, and Edmund were not only so nice, they are on top of any request you have like changing dinner times or bringing things to the room.    At the pool Laura and Lucinda went above and beyond making us comfortable, and Christi made sure we were never hungry!"
"1689761461-4","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","6","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or50-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","Le Blanc has firmly established itself as my resort of choice following our recent unforgettable journey. The exceptional experience offered by this establishment left us both spellbound and immensely satisfied. We were particularly impressed by the culinary delights served at all the restaurants, with Lumiere, the French eatery, and Terraza, specializing in Mexican cuisine, standing out significantly. Lumiere managed to captivate our taste buds with their exquisite chocolate soufflé, and the stellar service added a feather to their already illustrious cap. Terraza, on the other hand, amazed us with their chef's off-the-menu specials, providing a pleasant surprise to our gastronomical adventure.   The resort's butler service deserves special praise as well. Our heartfelt"
"1689761461-5","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","6","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or50-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","It is extremely hard to capture all the wonderful experiences at LeBlanc Cancun. From the moment you arrive, you are welcomed by the smell of cucumber aroma in the lobby and a warm neck wrap. Every single person on staff is kind and welcoming.  We spent out days by the pool with an amazing pool staff that was so accommodating. Each afternoon Laura would come by with cucumbers and a washcloth for your eyes and provide a massage treatment. Laura is amazing!  Then you have people like Alexander at the third floor pool who goes above and beyond. Alexander was always there with a smile and even made a special run to get my wife her favorite salad. Edgar was another mvp, always checking to make sure we had the right drinks. Isidra was another person who constantly checked in to make"
"1689761461-6","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","6","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or50-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","Went on honeymoon in June 2023. This was probably our 10th trip to this Resort. The main thing is, the staff are very attentive and Seem to always be looking for ways to make your trip better. Management seems to go out Of their way to evaluate staff and look for how they can better care for your needs.  We have been to other all inclusive resorts that are less expensive. But you get what you pay for.   From the front desk where we checked in with Cynthia  to our butlers,  Saul and Jose everyone looks to make your trip a wonderful experience.   One of the reasons that I come back every year is for the experience in the mens spa. Pablo and Miguel take very good care of me. The steam, sauna and hydrotherapy allow me to relax and rewind  if you enjoy massage therapy the staff is"
"1689761461-7","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","6","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or50-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","Amazing service and amenities all around. Our Butlers Antonio, Herber did a great job our first night making us feel welcome. Once we upgraded to another room, Saul & Raul provided us with exceptional service. Fernando at reception desk was very helpful. Pool staff & their services were great also! Good food, especially Yama! We ended our stay watching a turtle lay eggs along side the hotel’s conservation team member. Looking forward to another visit."
"1689761461-8","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","6","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or50-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","The service is a 10/10 over all of the other luxury all inclusives that we have been to in Mexico.   Hugo, Ramiro, and Miguel were all amazing while on our trip. Couldn’t be happier.   Very restful, the hydrotherapy spa is included and is amazing.   The staff and the service is off the charts. The food is super top notch.   Also their top shelf alcohol choices for hard alcohol are excellent.   This is a true 5 Star resort."
"1689761461-9","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","6","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or50-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","My husband and I have traveled a lot and nowhere compares to the pampering we received at LeBlanc. Everyone has butler service and you constantly feel like a VIP guest. The spa is out of this world and hydrotherapy is fabulous. It is included in your stay, so do it every day if you can. Unlike most all inclusive resorts, the food is delicious. The only thing I regret is not staying longer. A big shout out to Hugo, Ramiro, Miguel, and Roger for making our stay extra special. We can't wait to come back."
"1689761461-10","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","6","https://www.tripadvisor.com/Hotel_Review-g150807-d154868-Reviews-or50-Le_Blanc_Spa_Resort_Cancun-Cancun_Yucatan_Peninsula.html","My husband and I spent a week here for our honeymoon and had the most amazing time. Le Blanc is unlike any other resort we have stayed at. The staff and overall service is outstanding and our personal butlers, Eduardo and Brito were phenomenal and truly enhanced our stay. We asked for a bottle of champagne sent to our room one night after dinner and they went above and beyond by filling up our jacuzzi with bubbles, laid out rose petals, and delivered chocolate covered strawberries and ice cold champagne. Anything you can dream of, you can get here! We also enjoyed all the delicious restaurants, amazing poolside cocktails served by the most hardworking staff, and all the fun entertainment and activities they hosted. PS: you have to try the fresh churros from the poolside churro"
