web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689910658-1","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or50-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or70-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","Kids zone is great . My son loves Tessa, she is amazing with kids. Thank you all crew Rubi, Tessa,Ivanna, Ivon and Brenda. Room service was great . Also Atzi our planner was amazing.  Food was good , but the service of this hotel was the best. Thanks for everything to make a great memory for our family."
"1689910658-2","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or50-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or70-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","The sports bar is very fun to be at with the waiters and bar tenders named Karwa, gaby, valentin, and gingerz. They did a very good job, there may not be too many places but the sports bar is the place to be here."
"1689910658-3","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or50-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or70-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","Axcel and Valentine have been such a great hosts for mixology. Would recommend them for any activity! Thank you so much for showing us new drinks to make and for making it very entertaining. Would recommend this activity!"
"1689910658-4","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or50-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or70-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","This resort is gorgeous !! We had the most relaxing vacation with our friends lounging by the pool or at the swim up bar. I have to mention an excellent service we received through our stay. Our server Didier was amazing !! He treated all of us like a family. Didier and Yvonne (both working by the pool ) made our stay extra special !"
"1689910658-5","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or50-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or70-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","Just returned from a 6 night trip from Paradisus Cancun. I traveled with family & young children (19 in our group) a few things you should be aware of.  First the negatives: -No AC in 90% of the hotel :( I wish we knew that before booking because I would have thought twice before going. Our room had AC & maybe 2 restaurants I remember. My brother's room was hot, the AC was terrible. The buffet had AC only in the first few tables (which were never available) if you ever been to Cancun you know the heat + humidity is very uncomfortable.  -Restaurants were long waits so that was frustrating with young children. They do have outdoor pool service for food & room service so that was a great alternative. -The Reserve/Nikte upgrade was a total waste of money. Our Concierge didn't do"
"1689910658-6","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or50-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or70-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","The Paridisus is a nice resort but the interior of the building is in need of more renovations. The rooms are nice and spacious but not equal. We had to change rooms do to the AC not working well and the replacement room did not have the same amenities as our original room. My favorite servers were Atilano and Joni. But especially Atilano. He made my breakfast very comfortable and enjoyable.  Other Servers weren't that helpful.  I also enjoyed my concierge Liz, She did a great job making sure we had everything we needed and gave accommodations when we were inconvenienced.  She was awesome.  There was another young lady who's name I forget she wished nightly at the coffee bar and bakery during our stay.  She remembered my favorite drunk and snack and made sure we had it nightly."
"1689910658-7","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or50-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or70-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","Paradisus Cancun - FULL REVIEW!  Some notes: when reading reviews, consider the number of suggestions a reviewer has posted and ask yourself if you want to trust your precious vacation days to someone with 1 review. Also, be open-minded and fair when looking at 1 or 2-star reviews as there are some people who write negative reviews of a hotel because it rained while they were there or had unrealistic expectations (such as asking for a free penthouse suite upgrade when they booked a garden view room). Lastly, if you are going to take one or two specific reviews into consideration, take a look at the writer’s profiles and see if they have been to that location before or if it was their first time. Someone who’s been to a location numerous times has multiple experiences to compare"
"1689910658-8","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or50-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or70-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","Excellent holidays with friends. Thank you to Julian Ortega from reception, he gave us so beautiful room! He was really friendly and attentive in every detail! Also the staff from the pool area was very nice, food and drinks are so delicious."
"1689910658-9","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or50-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or70-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","Guendoline Flores from Premium Moments helped me plan a beautiful surprise for my son engagement. She was so helpful and communicating was very easy since we are in the United States. She absolutely went above and beyond. Very organized from getting the photographer, private dinner at the beach, flowers and a special breakfast the morning after. I greatly appreciate all the hard work in planning this special day for my son and future daughter in law. I highly recommend Guendoline and Paradisus Cancun for the special experience they offer."
"1689910658-10","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or50-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","8","https://www.tripadvisor.com/Hotel_Review-g150807-d282106-Reviews-or70-Paradisus_Cancun-Cancun_Yucatan_Peninsula.html","Room 3559, - the refrigerator was not working - still doesn't have a coffee maker - the room is very hot children are sweating all night. the thermostat says 69 never went below 75 degrees - we were supposed to at the coffee bar sweets and snacks didn't know until they entered our room - housekeeping only left 3 clean towels in total. - The concierge never approached them the entire time we were here.  My room 3006 - We were never given a promised room. we had to except a room on the first floor. this should not be acceptable for the upgrade we paid for. - refrigerator not working. had to be fixed to separate complaints - there was only one small towel left in my room. - never sent us a chair only one chair on the outside balcony all the time - when i dial 0 i usually have to"
