web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1690012137-1","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or80-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or100-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Penins.html","I would give the Valentin 10 stars! Our 5th time back! It's been 5 years since we've been here.  Valentin gets better every time! The staff and service is impeccable! The staff is friendly and offers to help you, from the grounds keeper to the concierge.  The food in all the restaurants are delicious!  They will adapt the menu the best they can for diet allergies.      I have to mention names,  as these employees go above and beyond in service.     Dora ; guest experience coordinator.  She remembers every guest! Always taking time to talk to us and get to know us.  She is so helpful and professional.  I'm glad you are back my Dora! You have become a good friend.   Other employees that stand out,      Miguel; the waiter at Terra restaurant.  Noemi ,manager, and Daretza, hostess"
"1690012137-2","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or80-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or100-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Penins.html","The service is amazing, the staff is very polite and nice and whole place is very clean 👌 the food is excellent and the drinks they are excellent. We like hibachi and all the activities around the pool. We like Lorenzo supervisor and Dora guest experience coordinator. Chicago will be back.   High recommendation!!!"
"1690012137-3","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or80-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or100-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Penins.html","I stayed here for over a week back in March. This resort exceeded all of my expectations. I wrote a blog post on my travel blog so if you're interested in reading a detailed review just message me for the link!  I normally stay at Excellence Riviera Cancun and this resort was slightly better in almost every category, so if you have specific questions regarding the comparison between resorts just message me. We never went hungry, we are not foodies by definition but we know good food and this resort has that. Drink service at the pools was fairly slow, but you're never further than 30 seconds away from the closest bars so it never became an issue.   We also had the Prive package, the best inclusions of this are 1. being able to reserve bali beds at the pool and 2. being able to"
"1690012137-4","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or80-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or100-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Penins.html","Dora, the experience coordinator, and Jorge are the best!!!  Very relaxing, support staff , hospitality.    The main pool is always a fun time and we enjoy the people watching with free flowing drinks.    We always see Dora working around the pool.  She is one of the best at Valentín.  She deserves a raise."
"1690012137-5","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or80-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or100-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Penins.html","Dora is the best in hospitality for experience coordinator.  She makes our day better every day that we see her.  Jorge is the best waiter at the buffet!   Grounds are amazing and perfectly groomed.  This is our 9th time visiting and we will always come back."
"1690012137-6","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or80-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or100-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Penins.html","Well we had the time of our lives here!  This vacation to V.I.R.M. was a first for us but we don't want to go anywhere else!  We can't wait to return!  Everything about the resort far exceeded anything we could have expected, but the most outstanding part of all was the staff.  Everyone was so friendly, cheerful, and helpful. We tried to keep track of all the folks we would wish to recognize and we have a list but there are many who deserve mention, we just failed to get a name.  Here is who we have... > Dora, of course! > Jorge, Le Marche > Jesus, Le Marche > Miguel, bldg #2 Concierge > Oscar, a Concierge > Roberto > Diego, Martini Bar > Abigail, Martini Bar > Caleb > Angeles > Floraida, Gift shop > Lazy River Drink Bar and all servers > Lazy River Lunch Bar, and all  servers >"
"1690012137-7","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or80-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or100-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Penins.html","The resort and the staff were excellent. The rooms were very clean and the beds were extremely comfortable. The pool was amazing and the swim up bar was perfect to stay in the pool all day. There were several activities at the main pool that kept us entertained all day as well as live music and shows every night.  All of the staff was friendly and they make delicious drinks. Dora was very sweet and checked in on us every day to make sure we had everything we needed. We will definitely come back to this resort."
"1690012160-8","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or80-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Peninsula.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or90-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Peninsu.html","I've been to several all inclusive resorts in Mexico and this one is by far the best. The food is excellent, specially the French restaurant and the Taco trucks at the main pool, yummy! The staff is super friendly, especially Dora! She makes you feel at home and like she's your best friend, love her! Will definitely return!!!"
"1690012160-9","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or80-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Peninsula.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or90-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Peninsu.html","We had an excellent stay!  Our room was nice and clean. The food and drinks were all very good. The Go Team are fun and entertaining. The entire staff are awesome!  Dora in Guest Experience is always amazing and so very friendly!  Can’t wait for trip number 10!"
"1690012160-10","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or80-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Peninsula.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g3198845-d774804-Reviews-or90-Valentin_Imperial_Riviera_Maya-Playa_del_Secreto_Playa_del_Carmen_Yucatan_Peninsu.html","We stayed in a junior suite. The rooms are clean and large enough and have a couch and desk. What more can you ask for. The beds are super comfortable and at the end of the night, that is what you want most. We did have an issue with my parent’s bed having a nook and they corrected that within two hours of us mentioning it. The customer service and attention to detail is remarkable. The mini fridge is fully stocked with water, beer, juice, soda, diet soda, and chips. The shampoo and soap are made with local honey and smell divine. Everything is relatively close and since the greenery is superb it provides shade and it feels like you are in a little jungle. The restaurants are all next to each other except Mar y Tierra that is by the beach but again, relatively close. With"
