web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689278402-1","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-or50-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Sofitel is top notch. Staff was amazing. Food amazing (Rico at the restaurant). Room amazing. Especially concierge Max and tour guide Ernesto Fuchs who took us to the pyramids. He knew everything. Will be back."
"1689278402-2","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-or50-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","I am amazed with the service and amenities provided by Sofitel, Mexico Reforma hotel! The Club Millésime team (Santiago, Gina, Sofía, Laura, Luis, Natalia and Citlali, and others whom I cannot recall because there are so many),  made each day special by always greeting me with a smile.  Also Martha, Jose Delgado, José Manuel and Jany are fantastic stewards of hospitality!  They always made sure my requests and needs were met each day.  Each and every employee of this hotel exemplifies superior customer service unlike any other hotel I have ever experienced. I recommend this hotel to anyone traveling to Mexico City!!"
"1689278402-3","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-or50-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","FreeHouse is a MUST If you are going for a drink in Mexico city. The vibe is smooth and chill. The drinks are amazing and the attention is top notch.  Ask for your regular drink or try something new with the bartender. You'll thank me later."
"1689278402-4","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-or50-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","We went to the Sofitel for drinks after dinner. The Freehouse had a great ambiance and Ricardo took excellent care of us. He gave great drink suggestions and made us feel comfortable. Highly recommend!"
"1689278402-5","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-or50-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","What a lovely hotel!  Everything was great - the staff and especially the concierge was delightful - we especially loved Max, Gustavo, and Claudia.  Every person there was so pleasant.  The staff who cleaned the room each day did a great job -- they had so many sweet touches.  The hotel is clean, modern, has great food and options.  The bar on the roof is really cool.  We highly recommend staying here!  We loved coming home here each day while we were in town."
"1689278402-6","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-or50-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","The customer service at Sofitel is truly exceptional, with very warm, personal, and highly professional staff. Especially Santiago, Gina, and Laura from Club Millésime made my stay very enjoyable and comfortable and made me feel at home, which I greatly appreciated as a solo business traveler. The staff at Club Millésime offer complimentary and delicious drinks and food with a great view from 36th floor, thus making it a great place to meet people or to work, and making Sofitel a stand-out experience."
"1689278402-7","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-or50-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Best Sofitel experience! Stayed in Cartagena and was impressed. MXC exceeded my expectations. Maximilian Ortiz, Claudia Romero (Concierge), and Juan Carlos (Room Service) were all fantastic. I look forward to my next stay and a trip back to MXC Sofitel."
"1689278402-8","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-or50-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","I spent three nights at the Sofitel CDMX with my husband. The highlight of staying at the Sofitel was the fantastic staff. From housekeeping to restaurant staff to concierge, the entire staff was kind, friendly, and helpful. Additionally, the hotel itself was beautiful, rooms were clean and comfortable, pool was nice, and we had a great view of the city. I look forward to visiting Sofitel CDMX again!"
"1689278402-9","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-or50-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","The Sofitel in CDMX is well-positioned for easy access to the best neighborhoods for food, shopping, and local flavor and natural beauty. The hotel is clean, and the staff is so accommodating, friendly, and gracious. My teenager left an item in an UBER on the way to the airport, and the concierge was super helpful in working with the driver and courier service to have that item delivered to us within days to our home in L.A. We had a lovely visit and would highly recommend, especially the brunch, pool, and spa."
"1689278402-10","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d17614022-Reviews-or50-Sofitel_Mexico_City_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html","We can’t thank the staff at Sofitel Reforma enough. We are just returning from a wonderful visit celebrating my 12 year old’s birthday. The staff went all out celebrating my daughter. Notwithstanding her severe egg allergy, we were greeted with a table full of balloons and surprises and egg free treats in celebration of her birthday. They even had a decorating kit for the stroller for our baby. I also happened to badly sprain my foot right before we landed in Mexico, and they were prepared and ready with a wheelchair, ice, and everything I needed. Rico, Fatima, and Raul were amazing at Restaurant Balta and they even brought out cake for breakfast with a candle for my daughter. A special call out to the entire concierge team and in particular Jonathan, who was working hard well"
