web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689934735-1","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or80-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or100-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html","Azulik is the best hotel I’ve ever stayed in. Highly recommend the Sea Villa. Most beautiful room I’ve ever experienced. Also went to KinToh for the Monkey nest experience for dinner & we had Luis Miguel as our server & he was always on top of it. Very knowledgeable & personable. Highly recommend requesting Luis Miguel as your server if you ever go to KinToh for dinner. I will no doubt come back to this beautiful resort."
"1689934735-2","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or80-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or100-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html","If you are a nature lover this is the place to be.As eco friendly as can be . It’s like Mother Nature is embracing you in every possible way .Each nook  and corner is so artistically curated . Like someone took a lot of pains in doing up the resort .As if that wasn’t enough , they have the best staff ever .Vincent at the desk, Gabriella the supervisor, Manuel the help desk and not to  forget the helpful concierge, all are welcoming , happy people. It was a delight to be a part of this family .Will recommend to everyone and will be back soon ."
"1689934735-3","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or80-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or100-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html","We stayed in the Moon Villa with Hugo and Luis as our butlers. Absolutely unreal. Truly. From the first step into the resort and into our villa, we were totally mind blown. We cancelled our excursions and just stayed at the hotel and enjoyed the spa services (Samanta and our masseuses were amazing), activities at the resort, the private beach, and the different hot tubs in the villa. The food was also delicious. The tarot card reading and inner child meditation were fantastic. Hugo was above and beyond helping with reservations, transportation, and everything in between. He was always at the ready and so quick to help! Truly a five star experience in the jungle. We’ll be back."
"1689934735-4","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or80-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or100-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html","Nice stay, cool concept. Thanks to Areli and Karan for looking after us.worth spending a few days to experience the concept , nice exclusive atmosphere and friendly service.  Sunset drinks are fun and cool view from the terrace. Food is good"
"1689934735-5","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or80-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or100-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html","Our stay at Azulik was awesome!!  We loved the service, the Angels attention, restaurant, food, beach club and even the luggage service from Jaime Hernandez was incredible.  Everything at your fingertips and much more.  The privacy, the ceremonies was unforgettable.  We also enjoyed the spa and massages with one of the most experienced therapists.  The Angel services, anything you need they are on top of your request.  We would definitely be returning to this resort for an unforgettable experience.  Javier A. Avendano"
"1689934735-6","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or80-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or100-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html","One of the best experience I’ve had in my life was at Azvlik staying at their Sky Villa! Gorgeous property, rooms, views and super welcoming staff. Our angel Regina went above and beyond to make things happen for us! I highly recommend staying here atleast once in your life!"
"1689934743-7","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or80-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or90-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html","Absolutely magical. We stayed there in February 2023, where I proposed to my now fiancé. Not only is the properly incredible and magical but the employees at Azulik are truly world class.  The concierge team (known as the Angels) are truly the most helpful and lovely people I've ever met.Regina and Karen (2 of the angels) are incredible and made our stay/proposal an incredible experience. The entire Angels team are amazing. They organized wine, chocolate, and rose petals for our room. Decorated our dinning table at one of the ""nests"" with rose petals, among many, many other things.  Also, Gabriella at the front desk is also fantastic. | just wish the English language had an ever stronger word to describe how incredibly lovely and helpful the folks at azulik are.  Highly"
"1689934743-8","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or80-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or90-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html","Excellent service, especially from bell guys who carry bags very far without carts. Raoul and Alejandro. Also…Marysol, Luis, Karen, and Diana were the most excellent service angels! We will stay again!"
"1689934743-9","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or80-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or90-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html","Amazing, friendly stuff working in Azulik, especially the Angels team. Very helpful and welcoming. Special thanks to Areli. Thank you for a wonderful stay. Definitely we’ll come back. The service in this place has left us very satisfied"
"1689934743-10","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or80-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or90-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html","We visited Azulik because we heard that the place is awesome, and that is right; the place is beautiful, but only that. It is incredibly expensive. I mean, we spend real cash on good vacations, but this place is crazy, and the service was not good at all. If you are paying 22/25 USD for 1 drink and 60 for an entrée, you expect spectacular service, and this wasn't the case. We were taking pictures at the nets and hammocks when we had the ugliest and most disgusting experience. We realized that a man was staring at us in a bad way. It was uncomfortable and awkward. At first, I thought that it was only me seeing that guy, but then my friends told me exactly the same. The worst part is that he is part of the staff, a man with really short hair in a black shirt. He didn't have a name"
"1689934743-11","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or80-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or90-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html","First off, I would like to thank Marisol for making this stay an absolute dream!  When we first arrived Marisol gave us a tour. I pulled her aside and mentioned I had plans to propose and wanted a photo shoot to capture the moment. She was super excited and got it all setup within just a few hours. The next day everything went as planned and we couldn’t ask for a more magical moment. Later that afternoon we went back to the room and it was decorated with rose petals with a bottle of wine ready for us to celebrate. My Fiancé and I would like to thank Marisol from the bottom of our hearts… we hope to see her and her beautiful smile again soon! We stayed in a Sea Villa and the view was amazing. We lit candles early so we didn’t have to light them in the dark. There is only one"
"1689934743-12","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or80-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or90-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html","From the moment we stepped out of the taxi and walked into the front area to check in we knew this was an extraordinary place to be.. We were greeted very politely and also they performed a mayan spiritual ritual to welcome us and we loved it. On the way to our ocean front villa the walk there was jaw dropping and we were in total amazement and how beautiful this place truly is.. The ocean front villa was truly amazing place and the deck area was right above the rocks where the Waves crashed onto the rocks right below you and the breeze was amazing. The beach area was absolutely wonderful and the service was great drinks were very tasty. The restaurants are definitely something to see it was unbelievable and hard to even put into words how beautiful they were The food was"
"1689934751-13","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or80-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html#REVIEWS","8","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or70-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html","Beautiful place! Unique atmosphere! We booked a sea villa which was right on the beach with a beautiful view and huge balcony. Loved the complimentary tarot reading with Federico and yoga every morning at the hotel!"
"1689934751-14","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or80-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html#REVIEWS","8","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or70-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html","We visited the beach club in February 2023, its hard to put into words how stunning this property is. However the beach club is average at best, for the $200 USD we paid for the day we were very disappointed with the basic beach club offerings. The DJ finally showed up at around 1 pm and you could barely hear the music, the beach area itself is not exciting or posh. Also, beware of the scam the servers run, we asked for Stoli vodka cocktails and were charged for Grey Goose on our bill- this is unacceptable and in Tulum this was not our first encounter with this scam. Thankfully after spending 45 minutes with the manager we left with a $100 refund."
"1689934751-15","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or80-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html#REVIEWS","8","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or70-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html","It's difficult to sum up Azulik as the experience is certainly unique. For once, the photos don't do it justice. The villas emerge from the trees and sit beautifully and comfortably alongside them. The museum is a rare and surprising treat. The staff and experiences are all truly magical from the welcoming Mayan ritual (original scpetic/massive convert; honestly) to the incredible massage by the Caribean Sea. However, for us there is only one star of the show: Luis. He was incredible - there was nothing too small that he hadn't sorted for us, whether that be the best table at the hotel's incredibel restaurants, arranging our cabana every day and of course sorting our cool bikes so we could explore. Thanks Luis - you're a legend. Name checks also to Rufino and Melissa from the"
"1689934751-16","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or80-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html#REVIEWS","8","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or70-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html","It’s our 4 visit to Azulik .  The other time we loved it BUT -  It seems that the administración only see how to take your money without return you expirenice back .  Awful hotel , don’t spend your money here .  It’s architecture y beautiful yes - but only this .  The stuff gives you a feeling of money money money all day .  It rained one day and the water entéreles the room , they did changed us a room the next day but it’s no the expirenice you expect to Recieve on those amounts that you pay.  The guests atention is horrible , everything is slow , and they really give you the feeling that you are not invited .  Good quality had reduced .  The guest is only having $ sign and even for a topaste they charge like 25 dollars 😳.   Really do not recommend them , go to see the sunset"
"1689934751-17","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or80-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html#REVIEWS","8","https://www.tripadvisor.com/Hotel_Review-g150813-d278752-Reviews-or70-AZULIK_Tulum-Tulum_Yucatan_Peninsula.html","I am having a hard time with this review. On the one hand, this property is insanely unique and beautiful. The restaurants are so well designed, the staff is amazing, the food delicious. On the other, I would not stay at this hotel a second time.  Check in was easy, they valeted our car, took our bags, checked us in and gave us a tour, everyone was very friendly and helpful.   The store at the entrance is beautiful. The design and architecture is like nothing I have ever seen. Check it out.   Now, lets start with the entrance to the hotel, the wood logs that make up the bridge and pathway to get in and out are so cute, but next to impossible to walk on. You most definitely could not wear any type of heels on this property, even sandals were difficult, barefoot kind of hurt on"
