web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689934112-1","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or80-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or100-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html","We loved this place, drinks were great, grounds are beautiful, fun activities with the amazing Ricky who will make anyone smile and have a great time, I need a full time Ricky at my house (lol) We did get sick off the food but hey it is Mexico, we never had tap water either. Luckily it only took us down for a day but we think it is the buffet food."
"1689934112-2","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or80-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or100-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html","Incredible scenery, service, and amenities! This place is absolutely fanitastic. We came down for a family destination wedding and the ceremony was beautiful. The entire resort was amazing! The staff was very welcoming, helpful, and friendly."
"1689934112-3","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or80-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or100-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html","It was my first time out of the country & the resort was gorgeous, the staff was so welcoming & kind! Especially the hype man as I call it, Ricky! He was amazing, energetic & fun to dance with! I absolutely loved the themed music nights especially when he was there! Thank you for the unforgettable experience, I highly recommend this resort! ☺️"
"1689934112-4","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or80-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or100-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html","I spend part of my vacations in Dreams Tulum and was such a good time. We want to come back soon. Also we did a trip around Yucatán and we went to chichen itza. The hotel was good, good food, but the most Incredible one was the entertainment the hotel has by the pool, Ricky was the best host ever. The beach was clear and the resort wasn’t too busy that is something that we like. Definitly the entertainment team with Ricky is the best!!!!!!!!"
"1689934112-5","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or80-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or100-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html","This trip is very cool but the design of the place is iffy. It’s has design flaws but it is good. Also Ricky is a super fun person and also an awesome party host guy. I played with him and had lots of fun and stuff. Overall it’s a very good trip and Ricky is very cool aswell"
"1689934112-6","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or80-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or100-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html","We had an awesome time at the resort for our friends wedding and we had a great time together. The staff was so lovely and the pool was such a fun time! Ricky was such an awesome performer and he made our stay so fun!"
"1689934112-7","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or80-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or100-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html","Everthing was awesome, ricky and his team is wonderfull really (victor, paula, andrea) our stay was thanks to them really amazing. The whole staff is wonderfull... The hotel is awesome too, reallybnice stay and anazing relax in the hotel. Staff is 5 star. Thank you"
"1689934112-8","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or80-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or100-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html","My friends and I came for a birthday weekend and had such a good time! Victor, Paola and Ricky made the trip! Victor was so personable and was so enthusiastic with all the activities like dancing, aquarobics, and break dancing! Ricky was bringing the energy and made sure everyone had fun every day and with each activity. Paola lead a great aquarobics class and fantastic with the traditional dancing.   We had such a fantastic, relaxing time. The food was incredible, accomodations were great and the pool and beach experience were exactly what we needed."
"1689934120-9","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or80-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or90-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html","This hotel is simply not a Dream. First night we arrived, no hot water after a 14h flight. The reception simply asked us to wait without giving us any other solution. This happened twice during our stay. No A/C in the room for a night, impossible to sleep. Once again no solution provided and we were simply being asked to wait.   For the restaurants, half of them are closed during the evenings and with very restricted options, the food is not tasty at all, same food everyday. So basically we were paying for restaurants which were closed. Again no compensation offered. Also when we ordered at the Bordeaux restaurant the food in our plate was not matching the menu, when we asked our server why, he just replied that they run out of it.   Hotel seriously needs renovation as there was"
"1689934120-10","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or80-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g150813-d591029-Reviews-or90-Dreams_Tulum_Resort_Spa-Tulum_Yucatan_Peninsula.html","The Hotel was probably 5 star 20 years ago. It's max 3 1/2 at this point in its lifespan. There are minimal amenities and activities available directly on the resort due to the ocean reef being close proximity...so most activities are coordinated with other hotels. Food was exceptionally average at best and rooms need updating."
