web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689281490-1","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-or50-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","I would highly recommend staying here, first class treatment! We were introduced to our room in a way I have only seen a couple of times when I had the pleasure of staying at a 5+ star hotel. The buffet breakfast that was included in our price was a much better than expected value. Service wasn't as attentive as could have been, but the immediately responded to any request. Great Downtown location the rooftop hotel overlooks the plaza. We will definitely stay here again and again!"
"1689281490-2","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-or50-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","This is a wonderful hotel, locations is perfect and service is formidable. Monica de La Rosa in charge of reservations with the help of  Mariana Reyes are always helpful and outstanding when booking. They do not miss a single detail no matter how small or big our group is. They are great at their job. I have no words to describe how marvelous this hotel is."
"1689281490-3","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-or50-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Have a meal or a drink here for the best views of Mexico City's main square. Ride the old world elevator all the way up, then go up two more stories. It all feels incredibly luxurious, but it is within reach of most tourists."
"1689281490-4","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-or50-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Marco Martinez Maldonado was an awesome server. He helped me with my Spanish and recommended local spots for us to check out. He was super attentive, kind, and patient. I highly recommend him and will revisit this restaurant because the service he gave was top notch. Would recommend—10/10!"
"1689281490-5","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-or50-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","We stated at the Gran Hotel Cuidad for 4 nights.  It was a great experience. The hotel is beautiful, and the location cannot be beat – right on Zocalo square.  The outdoor covered terrace on the rooftop overlooked Zocalo and was a wonderful location for breakfast and late-night drinks.  The staff was gracious, especially one of the door stewards, Victor.  They helped us line up things to do and made good suggestions for restaurants and shopping. And, of course, we also spent time trying to see where parts of the James Bond film were shot!   There was nothing we did not dislike.  We stayed in a junior suite.  It would have been nice to have more than one capsule of caffeinated coffee in the room (we did get more at the front desk).  A nightly turn-down would also have been nice"
"1689281490-6","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-or50-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","We stayed for 5 nights and it was truly a luxurious experience from beginning to end. For a couples getaway we highly recommend the zocalo view suite. It is spacious and elegantly decorated with historical style. We enjoyed  breakfast and most evening meals at the hotel, and can say only good things about the food, service, and atmosphere at the restaurant and throughout the hotel. We hope to come back soon!"
"1689281490-7","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-or50-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","I am typically not a luxury hotel traveller - I prefer Airbnbs and hostels. But Gran Hotel Ciudad de Mexico is the wonderful exception that proves the rule. I came for the stained glass ceiling. But they don't just cash in on the ceiling as a gimmick - throughout the entire stay, they make you feel like a million bucks (apologies to readers who are worth more than a million bucks). They give you champagne when you check in, and have a plate waiting in your room with treats and your name written in chocolate. I didn't know I needed that in my life, but I did.  The porters are helpful in all ways, and speak fluent English. Just be sure, when checking out, to give some time for them to retrieve your car from parking. It took a good 20 minutes for them to bring it down, which had us"
"1689281490-8","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-or50-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Loved my stay at this hotel.  Truly an experience of old- world luxury with the most courteous and helpful staff I have encountered in my travels.    The building itself is significant to the history of Mexico City, and the hotel has been maintained to honor that history.  And everyone - from the bellboys to the front desk staff to the restaurant staff - is friendly, professional, and kind.  (I was traveling solo, stayed for only 4 nights, and at least 3 or 4 staff members greeted me by name by day 2.)  My stay included breakfast, and the Terraza is amazing.  It overlooks the Zocalo, and the food is top notch.  I’ve been told by my tour guides that locals frequently come here as well for a special meal.  Just a reminder, though, this is a historic hotel in the heart of the"
"1689281490-9","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-or50-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","From the time you arrive until you depart the customer service is exceptional.  Upon arrival a bellman carries your bags up to reception, then serves you champagne as you check in.  Everyone is helpful.  When we called to get anything taken care of, extra towels, help with the safe, they arrive promptly and courteously.  Beautiful architecture, Tiffany glass ceiling, art deco.  The location is next to Zocalo square.  Convienant to many sights and restaurants.  They also have a roof top restuarant, service was lovely.  True old fashion customer service."
"1689281490-10","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d153937-Reviews-or50-Gran_Hotel_Ciudad_De_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html","We cannot express our wonderful experience with our dining experience at the La Terraza in the Gran Hotel Ciudad Mexico. The staff were very attentive at your every needs. In particular Alejandro was great. He attended to our anniversary dinner which made it very special. Alejandro also took photos of our which captured the moment just perfect. Being in Mexico we were not sure on our wine selection, we asked his recommendation and it turned out to be an excellent choice. Alejandro is the best. We highly recommend the hotel and restaurant."
