web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689734702-1","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or80-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or100-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","The hotel is based just off the square so is an ideal location for exploring Mexico city, it has a roof top bar/restaurant that offers beautiful views anytime of day and amazing food to accommodate it. The staff are friendly and attentive. I would highly recommend to anyone."
"1689734702-2","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or80-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or100-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","I stayed with my wife and child at zocalo central.   Great location, right beside the zocalo. Hence the name. The lobby was very impressive. With a high ceiling cafe with skylught roof and wall garden. The staff were very accomodating and helpful. They tended to all our needs. The cafe at the ground floor is open 24 hours and serves great snacks and coffee. This really helped when we got hungry in the middle of the night. It was awesome that everything with the exception of alcoholic beverages were complimentary.   The room was not so spacious but was fine as we did not stay in the room most of the day. The room and bathroom was very clean. No complaints whatsoever with the room and staff.   The breakfast at the top floor was superb! I really enjoyed the food. The pastries were"
"1689734702-3","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or80-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or100-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Highly recommend this hotel.  The positive points are: 1. Rooms were well appointed and comfortable. 2. Friendly and helpful staff. 3. Walking distance to central city. 4. Good food with excellent view on the 6th floor restaurant."
"1689734702-4","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or80-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or100-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Lovely city hotel right in the middle of the historic centre so major sights within walking distance. Rooms are on the small side but nice and quiet and staff are super friendly and helpful. Breakfast is on the rooftop terrace with fabulous views and excellent food. Nice added touch is the coffee shop downstairs with 24 hours complimentary tea  coffee and soft drinks. Would definitely recommend."
"1689734702-5","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or80-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or100-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","a very lovely hotel, clean, comfortable, extremely convenient location. Morning breakfast in an postal perfect scenery. Food was delitious and  could not have asked for a better service from a plentiful and friendly staff. I got to know them well, Erik Brandon, Alondra, Daniel and Mazidoca made sure that every meal was perfect. I spent the early morning usually with a cup of coffee working on my computer (fast WFI) over looking the Zacalo as the City began to raise."
"1689734702-6","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or80-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or100-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Outstanding Hotel- Incredible view every day from all inclusive breakfast. Great location in heart of Mexico City.  Biggest value was the free Coffee/sandwich shop that you can get a drink/sandwich/soup 24 hours a day.   The service was 5stars. Definitely our favorite hotel in Mexico City."
"1689734702-7","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or80-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or100-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","If you're looking to stay downtown this is the place, this hotel feels Mexican but modern, our room on the first floor was very small but smartly organized.  Unfortunately, their gym is very very poor and depressive and the only treadmill in there is not working.   Balcon del Zocalo is a must for breakfast with buffet and menu options all included in your rate, from eggs to chilaquiles or pancakes.  Erick Brandon Alonso is a rockstar with the service and he takes spectacular pictures that will look your Instagram fantastic."
"1689734702-8","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or80-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or100-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","This hotel is perfectly located in the heart of the historic center, it is absolutely beautiful, the rooms were stunning and clean, the bed and pillows the comfiest clouds ever, the staff was extremely nice and professional... it was peaceful and quiet, and to top it all off the included breakfast was delicious (on top of being served on the 6th floor with a splendid view of the area). There are fridges with bottled water on each floor for guests. We regretted not having time to dine at the on site restaurant because the menu was interesting and based on our experience, we are convinced we missed out. I will definitely be back!"
"1689734702-9","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or80-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or100-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","This hotel is a real gem. The location and views speak for itself. It is the staff that makes the difference. Everybody was really friendly and passionate about the guest experience. We also enjoyed the overall design and the little touches like free water bottles and included coffee shop. We stayed in a Suite with Zocalo views. The room itself was very well appointed and clean.  The blackout curtains didn’t close all the way but this was not an issue for the two of us. Highly recommended!!"
"1689734702-10","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or80-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or100-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","This is a perfect downtown location, near everything!! Lots of restaurants, shops, taco stands… hotel is beautiful love the rooftop restaurant/bar.  Services are great, everyone I encounter was great!! Definitely will go back to stay"
"1689734710-11","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or80-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or90-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","The hotel Zocal Central is right opposite the cathedral adjacent to the main zocalo, so it could not be more convenient for the city center. Tons of things to do and great restaurants nearby. The hotel itself has small but comfortable rooms. Everything is super clean and in good repair, so it is very comfortable, secure, and convenient. The hotel has a good breakfast- though not amazing- on the beautiful rooftop deck, with outstanding views. It is the same place as the Balcon de Zocalo restaurant, open at night, but clearly the daytime cook is not as fancy. You get omelettes, other egg dishes, enchiladas, pancakes, etc to order, and they are fine, but not outstanding. There is also a buffet with premade dishes, fruit, etc. It includes coffee and juice and refills, so a very"
