web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689733984-1","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or50-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","We arrived at 4.30am local time from London Heathrow via Aeromexico in mid January. It was a chilly 8c. We arrived at our hotel at 730 am and rested for a couple of hours before heading out on a walking tour of the historic area. By this time it was warming up and now bright and sunny. We found the historic area full of beautiful buildings and as the Sunday morning developed the city became a bustling hive of activity."
"1689733984-2","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or50-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","What a wonderful hotel this was. We had a great room with a fantastic bathroom and excellent service from all staff. The breakfasts are outstanding and the snack bar was great. The location couldn’t be better. I can’t recommend the hotel enough."
"1689733984-3","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or50-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","I am from Mexico city but now living in the US and I wanted my husband to experience ""El centro historico so we stayed 6 days before we left to spend Christmas with family members in the city. He loved it! This is my second time staying in this hotel and it will be our official headquarters when we visit the city. What can I say? We had a wonderful experience, the hotel is beautiful, you can see the impeccable care and attention in everything, delicious food, with breathtaking views to catedral and el zocalo and in a prime location. In addition to this, I would like to add the wonderful customer service and care from the hotel personnel. The people who work there are the most warm, attentive and welcoming! I felt back at home!. Daniel and Jose Luis were outstanding, thank you so"
"1689733984-4","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or50-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Our first time in Mexico City and this place has old world elegance and modern charm. The staff are multilingual and we enjoyed speaking in English and in Spanish and Italian in a festive and wonderful celebration of curiosity and the culture. The breakfast is abundant and is included. You can have the buffet or specially made meals which are extraordinary. The 24-hour cafe in which you can get beers and sandwiches and soups and other things is both aesthetically beautiful and unbelievably a reliable. If you're getting up at 5:00 in the morning for a tour you can grab a sandwich and a cup of coffee before you hit the road. Every possible then you could imagine needing as a traveler is accommodated by this hotel and most of it is included in the price of the rooms which are"
"1689733984-5","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or50-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","We stayed here for a holiday visit to Mexico City, December 2022. We wanted a central location to explore the city, since we were visiting the first time. Zocalo Central was perfect for us -- literally steps away from the Zocalo and most of the major sights we wanted to see. The Christmas festival was held on the Zocalo at this time, and it was very exciting to be a part of the energy of the city. The hotel is very close to the Zocalo metro. Walking in the doors of the hotel always felt like stepping into an oasis of calm away from the busy streets of the city, so it was a perfect combination of being able to experience the city and to retreat to a quiet space. Breakfasts on the balcony were a real highlight of the trip. The music, the friendly staff and attentive service -- it"
"1689733984-6","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or50-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","We love this place price but, the rooms even though are not fancy, their beds are real clean, it has a 24 hours cafe included in the price, snack’s, beverages, water and more at no extra cost and the superb and excellent service is a real+ if you compare other places in the area their employees have a genuine and natural helping spirit."
"1689733984-7","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or50-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","+ location & view from the Balcon  + breakfast !!! + complimentary bar + sleep quality + helpful doormen  - unfortunately front desk messing up with several things, we had to return with our questions and anyhow the staff left some issues unsolved"
"1689733984-8","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or50-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","Amazing location right next to the Zocalo and Cathedral. Rooms are somewhat small but were adequate size for 2 people. Restaurant on roof has spectacular views of the Zocalo and a delicious breakfast was included in our room rate.  This neighborhood which is packed during the day gets very quiet after dark. Certainly not the nightlife area like other parts of town include Roma, Polanco or Zona Rosa."
"1689733984-9","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","6","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or50-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","This hotel is set in the centre of the city within easy walking distance of many of of the sights and right opposite the Cathedral. We were fortunate to have a suite overlooking the square.  There is a welcoming reception and complimentary drinks  including coffee/tea/soft drinks and beer for th duration of your stay. The rooms are very spacious and was perfect for the three of us."
"1689734002-10","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","5","https://www.tripadvisor.com/Hotel_Review-g150800-d185401-Reviews-or40-Zocalo_Central-Mexico_City_Central_Mexico_and_Gulf_Coast.html","The hotel is located in the historic district so easy walking access to many sites.  Each staff member went out of their way to guarantee our stay was a great one. Rooms were clean and beautifully decorated. A wonderful breakfast buffet in the roof top restaurant and main floor snack bar were available to guests."
