web-scraper-order,web-scraper-start-url,pages,pages-href,reviews
"1689931079-1","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or80-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or100-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html","Worst hotel I’ve stayed at in Mexico. Basically feels like a hospital. Also the fraudulently play Hyatt content on the TV’s to make people think they are part of Hyatt when in fact they are not.   Avoid at all costs and stick to larger chains if possible. At least within Cancun"
"1689931079-2","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or80-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or100-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html","The place seem nice and all from the outside, but we had too many camels to swallow at this hotel.   Our room had city/seaview. There was a glitch in the frame of the balcony door. We heard loud music until 4 and 5 am every night, and were not able to sleep. We made the staff aware of the situation, but they did nothing to help us. We felt that we were met with a cold shoulder. The service of the staff didn’t reflect the prize we had to pay to stay there. It is very unfortunate, we have had a long flight to get to Cancun from Norway.  There was long waiting lines to get a table for breakfast, and they even ran out of food at 10 am. And there was supposed to be served until 12.  When we were eating breakfast, the staff could come several times and ask us about our room number,"
"1689931079-3","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or80-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or100-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html","We have very nice experience all over, especially restaurant, which is part of the resort named Las Velas (Italian restaurant) nice and quiet place to enjoy the dinner . Can’t wait to stop by again and visit this beautiful place special. Thanks to Santa Cruz. !"
"1689931079-4","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or80-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or100-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html","We stayed here for one night thankfully. We paid around $350 for a ocean view, asked for a king, got two doubles, room was old, loud due to the cement hallway, poor air conditioning, the toilet broke, the coffee machine was per junk. The pillows felt like soft rocks. The desk staff was unfriendly and tried to charge us extra. The margarita was the worst I’ve had."
"1689931079-5","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or80-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or100-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html","Do not stay here! I'm so sorry and I hate leaving a bad review.  My boyfriend and I travel a lot and we are not fussy about where we stay. We are definitely ok with the bare minimum but this was worse than we expected.  We liked the price and decided it couldn't be that bad, but it is bad...  The room is good! nothing wrong with the room and the resort, but it's the food and drinks. The food is so so bland, we couldn't eat here. We struggled to find food outside of the resort as well but the food here was very bad. Kinda like hospital food.  The drinks are made with watered-down bottles of alcohol.  I think I (a small woman) had maybe 10-15 drinks one day by the beach in the hopes to feel a buzz but nothing. They make you pay extra for unopened alcohol like bottled beer.  It's a"
"1689931079-6","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or80-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or100-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html","The staff at Krystal are so nice and go above and beyond. Erick, Paula, Victoria, Venus and Linda were the absolute best!! Made our trip so memorable  The resort is quiet, no alcohol served after 11pm, great location to walk to the bars"
"1689931079-7","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or80-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or100-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html","Jose was more than kind and helpful during my stay. I appreciate all of his help and service during my stay!!! :) He was productive and helped us without us even asking. This is the kind of service I really appreciate!!! GRACIAS JOSE"
"1689931079-8","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or80-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or100-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html","This is not 4 star! It's barely a 3. Pictures are not current. First problem was at check in. 5 people checking in to 2 rooms. My husband and my daughter and I checked into our room which had only one bed. I called the front desk who said we were given an upgrade to ocean view which is only one bed. I said thanks but we are 3 people, we cannot sleep in 1 bed. He said he could move us back to garden view but we have 2 rooms and I did not want to move from the rest of my family. He was super rude. They decided to bring us another bed. The bed came with only a sheet, no blanket and no pillow. Another call to front desk.  The pool is disgusting. It's filthy and there are so many tiles missing, a light was loose and stairs to get in are slanted. I watched several people struggle to"
"1689931079-9","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or80-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","11","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or100-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html","Excellent service and food was delicious. I came with a group of 14 people and there were no complications. Staffs were very friendly and quick with service. There’s a lot on the menu to choose from for dinner"
"1689931094-10","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or80-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html#REVIEWS","10","https://www.tripadvisor.com/Hotel_Review-g150807-d154896-Reviews-or90-Hotel_Krystal_Cancun-Cancun_Yucatan_Peninsula.html","Pros: Excellent location. Very close to the street where Coco Bongo and all the other clubs are. Private beach and pool. Daily entertainment and music by the pool. Very clean and nice rooms. Daily room service. I don’t understand how this hotel is only a 3 star hotel because it feels like it is a 5 star hotel.   Cons: a few of the staff in the reception gave us wrong information. For instance one person wrote wrong room number on the key card so the key obviously didn’t work so I had to go back to the reception and someone else told me the right room number."
